unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
05011950200,2020,950200,Bradley County,Arkansas,129,15,49,65,0,1133,18,78,534,229,39,200,35,11.6,38.0,50.4,0.0,1.6,6.9,47.1,20.2,3.4,17.7,3.1
05011950300,2020,950300,Bradley County,Arkansas,65,8,23,14,20,1537,53,315,535,302,183,109,40,12.3,35.4,21.5,30.8,3.4,20.5,34.8,19.6,11.9,7.1,2.6
05011950400,2020,950400,Bradley County,Arkansas,100,40,37,23,0,1039,173,124,414,199,30,89,10,40.0,37.0,23.0,0.0,16.7,11.9,39.8,19.2,2.9,8.6,1.0
05011950500,2020,950500,Bradley County,Arkansas,239,125,78,36,0,1734,140,170,712,330,147,157,78,52.3,32.6,15.1,0.0,8.1,9.8,41.1,19.0,8.5,9.1,4.5
05013480100,2020,480100,Calhoun County,Arkansas,211,0,69,123,19,1876,44,311,949,313,126,32,101,0.0,32.7,58.3,9.0,2.3,16.6,50.6,16.7,6.7,1.7,5.4
05013480200,2020,480200,Calhoun County,Arkansas,210,35,95,56,24,1897,61,189,762,355,259,180,91,16.7,45.2,26.7,11.4,3.2,10.0,40.2,18.7,13.7,9.5,4.8
05015950100,2020,950100,Carroll County,Arkansas,162,9,26,98,29,2331,74,155,637,554,123,558,230,5.6,16.0,60.5,17.9,3.2,6.6,27.3,23.8,5.3,23.9,9.9
05015950201,2020,950201,Carroll County,Arkansas,95,12,14,69,0,2967,22,154,1029,752,184,558,268,12.6,14.7,72.6,0.0,0.7,5.2,34.7,25.3,6.2,18.8,9.0
05015950202,2020,950202,Carroll County,Arkansas,174,27,92,55,0,2110,35,144,430,574,282,364,281,15.5,52.9,31.6,0.0,1.7,6.8,20.4,27.2,13.4,17.3,13.3
05015950301,2020,950301,Carroll County,Arkansas,322,165,129,28,0,2523,379,111,547,778,75,438,195,51.2,40.1,8.7,0.0,15.0,4.4,21.7,30.8,3.0,17.4,7.7
05015950302,2020,950302,Carroll County,Arkansas,197,79,118,0,0,2691,175,138,1219,618,123,117,301,40.1,59.9,0.0,0.0,6.5,5.1,45.3,23.0,4.6,4.3,11.2
