District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
DES ARC SCHOOL DISTRICT,DES ARC HIGH SCHOOL,5901002,44,19,22.70%,19.1,47.70%,19,25.00%,19,15.90%,9.10%,Arkansas,34.977855,-91.4990196,601 Main Street,72040,Prairie County,Des Arc,5117,"601 Main Street, Des Arc, Arkansas, 72040",460100,5117460100,2019,460100,Prairie County,Arkansas,223,0,83,123,17,2484,53,246,1122,463,295,196,109,0,37.2,55.2,7.6,2.1,9.9,45.2,18.6,11.9,7.9,4.4,1574,40383,58541,3316,59,1.8,3257,98.2,2966,89.4,217,6.5,0,0,0,0,0,0,0,0,74,2.2,19,19
HAZEN SCHOOL DISTRICT,HAZEN HIGH SCHOOL,5903012,45,19.9,35.60%,17.8,44.40%,19.5,28.90%,19.4,22.20%,13.30%,Arkansas,34.7843835,-91.580752,477 North Hazen Avenue,72064,Prairie County,Hazen,5117,"477 North Hazen Avenue, Hazen, Arkansas, 72064",460200,5117460200,2019,460200,Prairie County,Arkansas,263,17,100,46,100,1942,92,164,664,547,90,294,91,6.5,38,17.5,38,4.7,8.4,34.2,28.2,4.6,15.1,4.7,1208,51393,60619,2838,25,0.9,2813,99.1,2318,81.7,404,14.2,10,0.4,14,0.5,0,0,8,0.3,59,2.1,19.9,19.5
LITTLE ROCK SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,6001001,512,19.6,32.80%,20.1,53.70%,20.6,40.40%,19.9,32.80%,25.20%,Arkansas,34.7367998,-92.2986873,1500 S Little Rock Nine Way,72202,Pulaski County,Little Rock,5119,"1500 S Little Rock Nine Way, Little Rock, Arkansas, 72202",4500,5119004500,2019,4500,Pulaski County,Arkansas,631,30,113,476,12,1038,52,100,357,287,79,87,76,4.8,17.9,75.4,1.9,5,9.6,34.4,27.6,7.6,8.4,7.3,696,19844,33084,2028,93,4.6,1935,95.4,243,12,1677,82.7,6,0.3,1,0,0,0,0,0,8,0.4,19.6,20.6
LITTLE ROCK SCHOOL DISTRICT,HALL HIGH SCHOOL,6001002,167,15.1,3.60%,13.9,18.60%,15,9.00%,15.3,3.00%,1.80%,Arkansas,34.7605212,-92.3474361,6700 H Street,72205,Pulaski County,Little Rock,5119,"6700 H Street, Little Rock, Arkansas, 72205",2104,5119002104,2019,2104,Pulaski County,Arkansas,295,35,15,157,88,4014,12,61,730,412,84,1811,904,11.9,5.1,53.2,29.8,0.3,1.5,18.2,10.3,2.1,45.1,22.5,2250,98889,101592,5279,44,0.8,5235,99.2,4445,84.2,477,9,41,0.8,142,2.7,0,0,0,0,130,2.5,15.1,15
LITTLE ROCK SCHOOL DISTRICT,PARKVIEW MAGNET HIGH SCHOOL,6001005,258,17.9,19.80%,18.7,51.90%,19.4,33.70%,18.8,20.20%,13.20%,Arkansas,34.7314138,-92.3702359,2501 John Barrow Road,72204,Pulaski County,Little Rock,5119,"2501 John Barrow Road, Little Rock, Arkansas, 72204",2403,5119002403,2019,2403,Pulaski County,Arkansas,360,66,100,112,82,2742,74,142,1022,639,405,315,145,18.3,27.8,31.1,22.8,2.7,5.2,37.3,23.3,14.8,11.5,5.3,1734,40972,54493,4110,363,8.8,3747,91.2,816,19.9,2687,65.4,0,0,56,1.4,0,0,111,2.7,77,1.9,17.9,19.4
LITTLE ROCK SCHOOL DISTRICT,J.A. FAIR HIGH SCHOOL,6001063,128,15.4,0.80%,13.8,15.60%,15.2,6.30%,15.3,0.80%,0.00%,Arkansas,34.706091,-92.4111342,13420 David O Dodd Road,72210,Pulaski County,Little Rock,5119,"13420 David O Dodd Road, Little Rock, Arkansas, 72210",2405,5119002405,2019,2405,Pulaski County,Arkansas,501,226,128,121,26,3711,76,178,958,971,435,713,380,45.1,25.5,24.2,5.2,2,4.8,25.8,26.2,11.7,19.2,10.2,2230,48361,61157,5258,559,10.6,4699,89.4,1116,21.2,3413,64.9,0,0,56,1.1,0,0,44,0.8,70,1.3,15.4,15.2
LITTLE ROCK SCHOOL DISTRICT,MCCLELLAN MAGNET HIGH SCHOOL,6001064,130,15.4,3.10%,13.2,10.80%,14.7,3.80%,14.7,0.00%,0.00%,Arkansas,34.664728,-92.3435974,9417 Geyer Springs Road,72209,Pulaski County,Little Rock,5119,"9417 Geyer Springs Road, Little Rock, Arkansas, 72209",4108,5119004108,2019,4108,Pulaski County,Arkansas,385,61,141,183,0,3739,396,376,1460,984,300,122,101,15.8,36.6,47.5,0,10.6,10.1,39,26.3,8,3.3,2.7,2349,42179,49401,6536,1888,28.9,4648,71.1,231,3.5,4334,66.3,0,0,0,0,0,0,0,0,83,1.3,15.4,14.7
LITTLE ROCK SCHOOL DISTRICT,ALTERNATIVE AGENCIES,6001067,2,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,34.7291828,-92.3616203,,N/A,Pulaski County,N/A,5119,,2403,5119002403,2019,2403,Pulaski County,Arkansas,360,66,100,112,82,2742,74,142,1022,639,405,315,145,18.3,27.8,31.1,22.8,2.7,5.2,37.3,23.3,14.8,11.5,5.3,1734,40972,54493,4110,363,8.8,3747,91.2,816,19.9,2687,65.4,0,0,56,1.4,0,0,111,2.7,77,1.9,,
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK HIGH SCHOOL,6002082,467,17.1,14.60%,16.8,36.00%,17.7,23.60%,17.1,11.80%,8.80%,Arkansas,34.7765663,-92.2690704,201 West 22nd Street,72114,Pulaski County,North Little Rock,5119,"201 West 22nd Street, North Little Rock, Arkansas, 72114",2900,5119002900,2019,2900,Pulaski County,Arkansas,259,202,54,3,0,674,57,68,214,176,20,101,38,78,20.8,1.2,0,8.5,10.1,31.8,26.1,3,15,5.6,632,34444,30333,1009,233,23.1,776,76.9,119,11.8,652,64.6,0,0,0,0,0,0,5,0.5,0,0,17.1,17.7
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK CENTER OF EXCELLENCE,6002703,86,16.9,11.60%,16.6,37.20%,17.4,19.80%,16.9,7.00%,4.70%,Arkansas,34.7864492,-92.2531929,,N/A,Pulaski County,N/A,5119,,3308,5119003308,2019,3308,Pulaski County,Arkansas,201,18,49,84,50,3236,18,198,483,560,188,1261,528,9,24.4,41.8,24.9,0.6,6.1,14.9,17.3,5.8,39,16.3,1834,97734,126310,4180,138,3.3,4042,96.7,3724,89.1,190,4.5,0,0,26,0.6,0,0,45,1.1,57,1.4,16.9,17.4
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,WILBUR D. MILLS HIGH SCHOOL,6003125,112,15.8,4.50%,14.4,17.90%,16,13.40%,15.8,6.30%,1.80%,Arkansas,34.6738395,-92.2573013,708 East Dixon Road,72206,Pulaski County,Little Rock,5119,"708 East Dixon Road, Little Rock, Arkansas, 72206",4001,5119004001,2019,4001,Pulaski County,Arkansas,211,46,98,67,0,1160,70,157,274,275,97,238,49,21.8,46.4,31.8,0,6,13.5,23.6,23.7,8.4,20.5,4.2,664,28581,41255,1835,25,1.4,1810,98.6,329,17.9,1448,78.9,0,0,0,0,0,0,0,0,33,1.8,15.8,16
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,JOE T. ROBINSON HIGH SCHOOL,6003127,138,17,11.60%,16.2,30.40%,17.6,18.80%,17.2,13.00%,5.80%,Arkansas,34.8139114,-92.5068359,21501 Cantrell Road,72223,Pulaski County,Little Rock,5119,"21501 Cantrell Road, Little Rock, Arkansas, 72223",4213,5119004213,2019,4213,Pulaski County,Arkansas,514,25,67,365,57,3261,0,11,160,503,83,1249,1255,4.9,13,71,11.1,0,0.3,4.9,15.4,2.5,38.3,38.5,1871,211477,283481,4933,0,0,4933,100,4374,88.7,200,4.1,0,0,296,6,17,0.3,0,0,46,0.9,17,17.6
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,SYLVAN HILLS HIGH SCHOOL,6003128,309,18,20.10%,17.8,45.00%,18.8,27.20%,18.5,19.40%,12.30%,Arkansas,34.8502799,-92.2359143,484 Bear Paw Road,72120,Pulaski County,Sherwood,5119,"484 Bear Paw Road, Sherwood, Arkansas, 72120",3713,5119003713,2019,3713,Pulaski County,Arkansas,310,9,174,96,31,2677,33,64,830,672,159,639,280,2.9,56.1,31,10,1.2,2.4,31,25.1,5.9,23.9,10.5,1593,69886,90037,3946,133,3.4,3813,96.6,2695,68.3,1001,25.4,0,0,0,0,0,0,0,0,117,3,18,18.8
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MAUMELLE HIGH SCHOOL,6003151,229,17.1,12.20%,17.4,42.40%,18.1,22.70%,17.9,14.40%,7.90%,Arkansas,34.8627538,-92.384935,100 Victory Lane,72113,Pulaski County,Maumelle,5119,"100 Victory Lane, Maumelle, Arkansas, 72113",4309,5119004309,2019,4309,Pulaski County,Arkansas,41,25,0,16,0,2898,0,118,382,681,499,770,448,61,0,39,0,0,4.1,13.2,23.5,17.2,26.6,15.5,1511,94860,101632,3879,254,6.5,3625,93.5,2417,62.3,951,24.5,0,0,227,5.9,0,0,0,0,30,0.8,17.1,18.1
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,JACKSONVILLE HIGH SCHOOL,6004009,187,16.3,9.10%,15,24.10%,16.3,11.20%,16.4,7.50%,2.70%,Arkansas,34.8674331,-92.1270445,,N/A,Pulaski County,Jacksonville,5119,,3605,5119003605,2019,3604,Pulaski County,Arkansas,364,0,89,275,0,3919,153,264,1178,991,550,524,259,0,24.5,75.5,0,3.9,6.7,30.1,25.3,14,13.4,6.6,2328,55500,68854,5934,67,1.1,5867,98.9,3008,50.7,2602,43.8,0,0,50,0.8,0,0,80,1.3,127,2.1,16.3,16.3
ACADEMICS PLUS SCHOOL DISTRICT,MAUMELLE CHARTER HIGH SCHOOL,6040703,42,20,38.10%,22.1,83.30%,21.1,45.20%,22,50.00%,21.40%,Arkansas,34.862572,-92.4044777,600 Edgewood Drive,72113,Pulaski County,Maumelle,5119,"600 Edgewood Drive, Maumelle, Arkansas, 72113",4306,5119004306,2019,4306,Pulaski County,Arkansas,390,26,71,133,160,4227,102,182,687,1046,660,812,738,6.7,18.2,34.1,41,2.4,4.3,16.3,24.7,15.6,19.2,17.5,2508,60735,88859,6445,238,3.7,6207,96.3,4243,65.8,1654,25.7,9,0.1,33,0.5,0,0,0,0,268,4.2,20,21.1
LISA ACADEMY,LISA ACADEMY HIGH,6041703,110,18.6,23.60%,18.7,43.60%,19.1,23.60%,19,16.40%,10.90%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,18.6,19.1
LISA ACADEMY,LISA ACADEMY NORTH HIGH CHARTER SCHOOL,6041706,30,20.8,40.00%,22.5,63.30%,22.3,50.00%,20.4,36.70%,30.00%,Arkansas,34.7514746,-92.388168,23 Corporate Hill Drive,72205,Pulaski County,Little Rock,5119,"23 Corporate Hill Drive, Little Rock, Arkansas, 72205",2208,5119002208,2019,2208,Pulaski County,Arkansas,160,47,6,31,76,1308,65,16,347,344,42,316,178,29.4,3.8,19.4,47.5,5,1.2,26.5,26.3,3.2,24.2,13.6,824,59605,71738,1861,90,4.8,1771,95.2,1075,57.8,374,20.1,4,0.2,176,9.5,11,0.6,0,0,131,7,20.8,22.3
ARKANSAS VIRTUAL ACADEMY,ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,6043703,102,17.6,14.70%,18.6,52.00%,19.8,38.20%,18.9,22.50%,10.80%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,17.6,19.8
ESTEM PUBLIC CHARTER SCHOOL,ESTEM HIGH SCHOOL,6047703,149,18.8,26.20%,18.7,50.30%,19.2,31.50%,19,25.50%,18.10%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,18.8,19.2
JACKSONVILLE LIGHTHOUSE CHARTER,JACKSONVILLE LIGHTHOUSE COLLEGE PREP ACADEMY HIGH,6050703,49,15.4,4.10%,14.1,14.30%,16.4,12.20%,15.2,0.00%,0.00%,Arkansas,34.8674331,-92.1270445,,N/A,Pulaski County,Jacksonville,5119,,3605,5119003605,2019,3604,Pulaski County,Arkansas,364,0,89,275,0,3919,153,264,1178,991,550,524,259,0,24.5,75.5,0,3.9,6.7,30.1,25.3,14,13.4,6.6,2328,55500,68854,5934,67,1.1,5867,98.9,3008,50.7,2602,43.8,0,0,50,0.8,0,0,80,1.3,127,2.1,15.4,16.4
SIATECH LITTLE ROCK CHARTER,SIATECH HIGH CHARTER,6052703,13,14.7,0.00%,14.2,23.10%,14.8,7.70%,15.5,0.00%,0.00%,Arkansas,34.6869928,-92.30818,6724 Interstate 30,72209,Pulaski County,Little Rock,5119,"6724 Interstate 30, Little Rock, Arkansas, 72209",2002,5119002002,2019,2002,Pulaski County,Arkansas,452,127,200,125,0,2347,176,219,988,561,172,175,56,28.1,44.2,27.7,0,7.5,9.3,42.1,23.9,7.3,7.5,2.4,1545,28448,39251,4312,1033,24,3279,76,501,11.6,2674,62,0,0,0,0,0,0,0,0,104,2.4,14.7,14.8
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,PREMIER HIGH SCHOOL OF LITTLE ROCK,6053703,11,15.2,9.10%,12.8,18.20%,14.1,9.10%,14.6,9.10%,9.10%,Arkansas,34.7444618,-92.2880157,,N/A,Pulaski County,Little Rock,5119,,4400,5119004400,2019,4400,Pulaski County,Arkansas,121,4,24,15,78,1791,31,105,237,208,103,443,664,3.3,19.8,12.4,64.5,1.7,5.9,13.2,11.6,5.8,24.7,37.1,1322,54722,107760,2027,64,3.2,1963,96.8,1528,75.4,305,15,0,0,12,0.6,0,0,27,1.3,91,4.5,15.2,14.1
RESPONSIVE EDUCATION SOLUTIONS QUEST MIDDLE SCHOOL,QUEST ACADEMY OF WEST LITTLE ROCK,6054703,12,18.8,25.00%,17.9,33.30%,15.8,0.00%,17.1,8.30%,0.00%,Arkansas,34.7444618,-92.2880157,,N/A,Pulaski County,Little Rock,5119,,4400,5119004400,2019,4400,Pulaski County,Arkansas,121,4,24,15,78,1791,31,105,237,208,103,443,664,3.3,19.8,12.4,64.5,1.7,5.9,13.2,11.6,5.8,24.7,37.1,1322,54722,107760,2027,64,3.2,1963,96.8,1528,75.4,305,15,0,0,12,0.6,0,0,27,1.3,91,4.5,18.8,15.8
ARK. SCHOOL FOR THE BLIND,ARK. SCHOOL FOR THE BLIND H.S.,6091002,7,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,,
MAYNARD SCHOOL DISTRICT,MAYNARD HIGH SCHOOL,6102006,25,16.7,12.00%,14.5,24.00%,15.9,12.00%,16.2,4.00%,4.00%,Arkansas,36.4179869,-90.899011,74 Campus Drive,72444,Randolph County,Maynard,5121,"74 Campus Drive, Maynard, Arkansas, 72444",960100,5121960100,2019,960100,Randolph County,Arkansas,262,55,80,116,11,3215,189,263,1121,762,506,230,144,21,30.5,44.3,4.2,5.9,8.2,34.9,23.7,15.7,7.2,4.5,1732,45657,54556,4336,46,1.1,4290,98.9,4100,94.6,22,0.5,15,0.3,1,0,0,0,0,0,152,3.5,16.7,15.9
POCAHONTAS SCHOOL DISTRICT,POCAHONTAS HIGH SCHOOL,6103010,131,20.2,42.70%,19.8,60.30%,19.9,42.70%,19.8,37.40%,26.70%,Arkansas,36.2803717,-90.9817087,2312 Stadium Drive,72455,Randolph County,Pocahontas,5121,"2312 Stadium Drive, Pocahontas, Arkansas, 72455",960301,5121960301,2019,960301,Randolph County,Arkansas,325,67,179,69,10,2830,88,179,1042,716,161,364,280,20.6,55.1,21.2,3.1,3.1,6.3,36.8,25.3,5.7,12.9,9.9,1714,47328,59855,4316,203,4.7,4113,95.3,3949,91.5,70,1.6,0,0,16,0.4,0,0,0,0,78,1.8,20.2,19.9
FORREST CITY SCHOOL DISTRICT,FORREST CITY HIGH SCHOOL,6201011,143,15.5,4.20%,13.8,16.10%,14.7,5.60%,15.3,2.80%,1.40%,Arkansas,35.0203693,-90.7946678,467 Victoria Avenue,72335,St. Francis County,Forrest City,5123,"467 Victoria Avenue, Forrest City, Arkansas, 72335",960400,5123960400,2019,960400,St. Francis County,Arkansas,554,169,121,264,0,2341,111,436,696,647,249,163,39,30.5,21.8,47.7,0,4.7,18.6,29.7,27.6,10.6,7,1.7,1602,29551,40088,4392,0,0,4392,100,335,7.6,4015,91.4,0,0,19,0.4,0,0,0,0,23,0.5,15.5,14.7
PALESTINE-WHEATLEY SCH. DIST.,PALESTINE-WHEATLEY SENIOR HIGH,6205028,50,16.3,8.00%,17.7,38.00%,18.4,24.00%,18.4,12.00%,6.00%,Arkansas,34.9910985,-90.9438468,,N/A,St. Francis County,N/A,5123,,960300,5123960300,2019,960300,St. Francis County,Arkansas,191,55,55,81,0,1972,143,145,899,367,179,182,57,28.8,28.8,42.4,0,7.3,7.4,45.6,18.6,9.1,9.2,2.9,1165,34659,51985,2861,49,1.7,2812,98.3,2044,71.4,767,26.8,0,0,0,0,0,0,0,0,1,0,16.3,18.4
BAUXITE SCHOOL DISTRICT,BAUXITE HIGH SCHOOL,6301002,129,17.6,16.30%,17.9,49.60%,18.7,26.40%,18.9,22.50%,10.10%,Arkansas,34.5535477,-92.5108387,800 School Street,72011,Saline County,Bauxite,5125,"800 School Street, Bauxite, Arkansas, 72011",10602,5125010602,2019,10602,Saline County,Arkansas,290,23,153,43,71,1820,25,198,633,558,137,185,84,7.9,52.8,14.8,24.5,1.4,10.9,34.8,30.7,7.5,10.2,4.6,981,54162,64071,2782,92,3.3,2690,96.7,2378,85.5,194,7,0,0,0,0,0,0,0,0,118,4.2,17.6,18.7
BAUXITE SCHOOL DISTRICT,MINER ACADEMY,6301703,7,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,34.504805,-92.5197932,,N/A,Saline County,N/A,5125,,10407,5125010407,2019,10407,Saline County,Arkansas,276,9,140,70,57,3053,13,339,1243,712,248,391,107,3.3,50.7,25.4,20.7,0.4,11.1,40.7,23.3,8.1,12.8,3.5,1528,63514,82127,4680,367,7.8,4313,92.2,4096,87.5,0,0,0,0,0,0,0,0,0,0,217,4.6,,
BENTON SCHOOL DISTRICT,BENTON HIGH SCHOOL,6302012,376,20.1,38.80%,20.3,62.20%,20.4,43.60%,20.2,33.80%,21.80%,Arkansas,34.5654181,-92.5743607,211 North Border Street,72015,Saline County,Benton,5125,"211 North Border Street, Benton, Arkansas, 72015",10101,5125010101,2019,10101,Saline County,Arkansas,340,27,179,134,0,2770,64,478,896,657,278,273,124,7.9,52.6,39.4,0,2.3,17.3,32.3,23.7,10,9.9,4.5,1551,57908,58735,3959,497,12.6,3462,87.4,3070,77.5,237,6,39,1,0,0,58,1.5,0,0,58,1.5,20.1,20.4
BRYANT SCHOOL DISTRICT,BRYANT HIGH SCHOOL,6303022,616,19,29.90%,19.5,58.00%,19.4,35.20%,19.2,26.30%,17.40%,Arkansas,34.6088451,-92.4937164,1511 North Reynolds Road,72022,Saline County,Bryant,5125,"1511 North Reynolds Road, Bryant, Arkansas, 72022",10107,5125010107,2019,10107,Saline County,Arkansas,390,59,42,276,13,3864,121,162,734,1103,425,889,430,15.1,10.8,70.8,3.3,3.1,4.2,19,28.5,11,23,11.1,2449,52934,65000,5309,50,0.9,5259,99.1,4662,87.8,274,5.2,0,0,163,3.1,0,0,0,0,160,3,19,19.4
HARMONY GROVE SCH DIST(SALINE),HARMONY GROVE HIGH SCHOOL,6304030,85,18.2,23.50%,17.4,47.10%,17.7,21.20%,18.7,22.40%,16.50%,Arkansas,34.508336,-92.6435323,2621 Arkansas 229,72015,Saline County,Benton,5125,"2621 Arkansas 229, Benton, Arkansas, 72015",10514,5125010514,2019,10514,Saline County,Arkansas,412,154,212,43,3,2472,108,241,991,468,220,303,141,37.4,51.5,10.4,0.7,4.4,9.7,40.1,18.9,8.9,12.3,5.7,969,78542,85133,3575,208,5.8,3367,94.2,3080,86.2,262,7.3,0,0,6,0.2,0,0,0,0,19,0.5,18.2,17.7
WALDRON SCHOOL DISTRICT,WALDRON HIGH SCHOOL,6401003,109,18.5,27.50%,17.8,44.00%,18.6,28.40%,18.7,28.40%,16.50%,Arkansas,34.9002949,-94.11506,736 Arkansas 80,72958,Scott County,Waldron,5127,"736 Arkansas 80, Waldron, Arkansas, 72958",950200,5127950200,2019,950200,Scott County,Arkansas,273,58,123,92,0,2704,345,261,1149,530,137,188,94,21.2,45.1,33.7,0,12.8,9.7,42.5,19.6,5.1,7,3.5,1629,34069,36895,4022,621,15.4,3401,84.6,3271,81.3,5,0.1,8,0.2,29,0.7,0,0,0,0,88,2.2,18.5,18.6
SEARCY COUNTY SCHOOL DISTRICT,MARSHALL HIGH SCHOOL,6502006,58,19.2,31.00%,19.6,58.60%,19.9,37.90%,20,22.40%,20.70%,Arkansas,35.9091004,-92.6590391,950 U.S. 65,72650,Searcy County,Marshall,5129,"950 U.S. 65, Marshall, Arkansas, 72650",970200,5129970200,2019,970200,Searcy County,Arkansas,283,38,162,81,2,2710,351,295,1130,521,149,157,107,13.4,57.2,28.6,0.7,13,10.9,41.7,19.2,5.5,5.8,3.9,1522,33452,41221,3760,76,2,3684,98,3338,88.8,41,1.1,49,1.3,15,0.4,0,0,0,0,241,6.4,19.2,19.9
OZARK MOUNTAIN SCHOOL DISTRICT,ST. JOE K-12 SCHOOL,6505015,13,17.1,7.70%,16.5,38.50%,17.6,38.50%,17.5,7.70%,7.70%,Arkansas,36.0998069,-92.8178291,,N/A,Marion County,N/A,5089,,960100,5089960100,2019,960100,Marion County,Arkansas,283,81,88,93,21,3052,142,233,1082,905,207,316,167,28.6,31.1,32.9,7.4,4.7,7.6,35.5,29.7,6.8,10.4,5.5,1770,39439,54686,3923,163,4.2,3760,95.8,3667,93.5,0,0,0,0,21,0.5,0,0,0,0,72,1.8,17.1,17.6
OZARK MOUNTAIN SCHOOL DISTRICT,WESTERN GROVE K-12 SCHOOL,6505016,26,17.1,7.70%,15.8,30.80%,17,26.90%,16.7,7.70%,3.80%,Arkansas,36.0998069,-92.8178291,,N/A,Marion County,N/A,5089,,960100,5089960100,2019,960100,Marion County,Arkansas,283,81,88,93,21,3052,142,233,1082,905,207,316,167,28.6,31.1,32.9,7.4,4.7,7.6,35.5,29.7,6.8,10.4,5.5,1770,39439,54686,3923,163,4.2,3760,95.8,3667,93.5,0,0,0,0,21,0.5,0,0,0,0,72,1.8,17.1,17
OZARK MOUNTAIN SCHOOL DISTRICT,BRUNO-PYATT K-12 SCHOOL,6505017,14,17.6,0.00%,16,28.60%,15.5,7.10%,17.4,0.00%,0.00%,Arkansas,36.1807031,-92.8497424,4754 Arkansas 125,72633,Marion County,Everton,5089,"4754 Arkansas 125, Everton, Arkansas, 72633",960100,5089960100,2019,960100,Marion County,Arkansas,283,81,88,93,21,3052,142,233,1082,905,207,316,167,28.6,31.1,32.9,7.4,4.7,7.6,35.5,29.7,6.8,10.4,5.5,1770,39439,54686,3923,163,4.2,3760,95.8,3667,93.5,0,0,0,0,21,0.5,0,0,0,0,72,1.8,17.6,15.5
FORT SMITH SCHOOL DISTRICT,BELLE POINT ALTERNATIVE CENTER,6601005,3,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.3729158,-94.4172264,1501 Dodson Avenue,72901,Sebastian County,Fort Smith,5131,"1501 Dodson Avenue, Fort Smith, Arkansas, 72901",800,5131000800,2019,800,Sebastian County,Arkansas,558,43,187,309,19,2777,154,498,940,651,74,230,230,7.7,33.5,55.4,3.4,5.5,17.9,33.8,23.4,2.7,8.3,8.3,1846,27271,53427,4344,1001,23,3343,77,2452,56.4,487,11.2,60,1.4,60,1.4,0,0,0,0,284,6.5,,
FORT SMITH SCHOOL DISTRICT,NORTHSIDE HIGH SCHOOL,6601024,442,17.3,16.50%,16,30.50%,17.3,18.30%,17.9,14.90%,7.00%,Arkansas,35.3783893,-94.4056193,North 25th Street,72901,Sebastian County,Fort Smith,5131,"North 25th Street, Fort Smith, Arkansas, 72901",800,5131000800,2019,800,Sebastian County,Arkansas,558,43,187,309,19,2777,154,498,940,651,74,230,230,7.7,33.5,55.4,3.4,5.5,17.9,33.8,23.4,2.7,8.3,8.3,1846,27271,53427,4344,1001,23,3343,77,2452,56.4,487,11.2,60,1.4,60,1.4,0,0,0,0,284,6.5,17.3,17.3
