school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,year
Hazen High School,7-12,Hazen School District,16.53,43.0,263.0,69.0,72.0,2.0,24.0,2.0,28.0,5, 181 ,43%,16.27,15.88,17.14,16.47,16.53, 21 , 11 ,64%,0,5903012,5903000,2019.0
Heber Springs High School,9-12,Heber Springs School District,21.14,44.0,448.0,36.0,92.0,6.0,0.0,2.0,8.0,2, 448 ,44%,22.45,20.56,19.9,21.16,21.14, 40 , 31 ,52%,0,1202006,1202000,2019.0
Hector High School,7-12,Hector School District,18.48,50.0,269.0,72.0,93.0,3.0,0.0,3.0,7.0,1, 176 ,50%,19.16,18.13,16.65,19.19,18.48, 32 , 27 ,19%,0,5803010,5803000,2019.0
Hermitage High School,7-12,Hermitage School District,18.92,48.0,225.0,68.0,61.0,26.0,13.0,0.0,39.0,5, 151 ,48%,19.72,17.68,18.16,19.56,18.92, 20 , 20 ,20%,0,601007,601000,2019.0
Highland High School,9-12,Highland School District,19.1,44.0,516.0,71.0,94.0,3.0,1.0,2.0,6.0,2, 516 ,44%,19.95,18.62,18.19,19.23,19.1, 19 , 26 ,73%,0,6804010,6804000,2019.0
Hillcrest High School,7-12,Hillcrest School District,18.49,59.0,198.0,60.0,97.0,2.0,0.0,2.0,3.0,2, 135 ,59%,18.38,17.78,18.11,19.11,18.49, N<10 , N<10 ,13%,0,3809023,3809000,2019.0
Hope High School,9-12,Hope School District,15.28,46.0,600.0,73.0,19.0,35.0,45.0,2.0,81.0,4, 596 ,46%,15.86,13.73,15.25,15.73,15.28, 10 , N<10 ,RV,0,2903012,2903000,2019.0
Horatio High School,7-12,Horatio School District,19.2,55.0,373.0,72.0,72.0,23.0,1.0,4.0,28.0,4, 230 ,55%,20.41,18.0,17.89,19.93,19.2, 53 , 78 ,8%,0,6703013,6703000,2019.0
Hot Springs World Class High School,9-12,Hot Springs School District,17.3,41.0,959.0,73.0,36.0,18.0,38.0,7.0,64.0,3, 954 ,41%,17.51,16.67,16.74,17.62,17.3, 41 , 69 ,42%,0,2603703,2603000,2019.0
Hoxie High School,7-12,Hoxie School District,18.75,47.0,385.0,67.0,91.0,3.0,1.0,4.0,9.0,2, 264 ,47%,20.02,18.61,16.75,19.02,18.75, 43 , 52 ,4%,0,3804010,3804000,2019.0
Huntsville High School,9-12,Huntsville School District,19.5,42.0,581.0,56.0,82.0,9.0,1.0,8.0,18.0,1, 581 ,42%,19.96,18.85,18.75,19.76,19.5, 80 , 97 ,41%,0,4401003,4401000,2019.0
Izard County Consversion High School,9-12,Izard County Consolidated School District,17.5,42.0,166.0,68.0,95.0,2.0,2.0,1.0,5.0,2, 166 ,42%,18.07,16.57,17.21,17.57,17.5, 18 , N<10 ,22%,0,3306015,3306000,2019.0
J.A. Fair High School,9-12,Little Rock School District,14.94,35.0,684.0,85.0,3.0,12.0,83.0,1.0,97.0,3, 684 ,35%,14.85,13.7,15.24,15.38,14.94, 147 , 61 ,5%,0,6001063,6001000,2019.0
