District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
LAKE HAMILTON SCHOOL DISTRICT,LAKE HAMILTON HIGH SCHOOL,2605034,278,19.1,28.4%,19.4,58.6%,19.7,33.5%,19.8,27.0%,14.7%
LAKESIDE SCHOOL DIST(GARLAND),LAKESIDE HIGH SCHOOL,2606044,249,19.2,30.9%,20.7,64.7%,20.7,43.8%,20.4,34.1%,25.3%
MOUNTAIN PINE SCHOOL DISTRICT,MOUNTAIN PINE HIGH SCHOOL,2607047,26,15.4,0.0%,17.2,42.3%,17.2,19.2%,16.1,3.8%,0.0%
POYEN SCHOOL DISTRICT,POYEN HIGH SCHOOL,2703010,52,17.9,23.1%,14.8,23.1%,16.1,9.6%,16.7,9.6%,3.8%
SHERIDAN SCHOOL DISTRICT,SHERIDAN HIGH SCHOOL,2705021,287,18.6,27.2%,18.0,46.3%,18.9,31.4%,18.9,25.1%,13.9%
MARMADUKE SCHOOL DISTRICT,MARMADUKE HIGH SCHOOL,2803017,48,18.2,20.8%,19.4,58.3%,19.5,45.8%,21.0,35.4%,14.6%
GREENE COUNTY TECH SCHOOL DISTRICT,GREENE CTY TECH HIGH SCHOOL,2807008,221,18.2,24.0%,18.3,48.9%,18.6,24.9%,18.8,22.2%,10.9%
PARAGOULD SCHOOL DISTRICT,PARAGOULD HIGH SCHOOL,2808043,191,17.9,18.3%,17.9,48.7%,18.4,26.7%,18.5,17.3%,9.9%
BLEVINS SCHOOL DISTRICT,BLEVINS HIGH SCHOOL,2901002,28,17.1,10.7%,16.2,35.7%,17.6,28.6%,16.3,10.7%,3.6%
HOPE SCHOOL DISTRICT,HOPE HIGH SCHOOL,2903012,116,15.5,3.4%,13.5,14.7%,15.2,6.0%,14.9,2.6%,1.7%
SPRING HILL SCHOOL DISTRICT,SPRING HILL HIGH SCHOOL,2906026,45,17.9,15.6%,17.5,35.6%,19.4,31.1%,19.3,15.6%,8.9%
BISMARCK SCHOOL DISTRICT,BISMARCK HIGH SCHOOL,3001003,60,21.0,45.0%,20.8,73.3%,20.5,35.0%,21.3,41.7%,26.7%
GLEN ROSE SCHOOL DISTRICT,GLEN ROSE HIGH SCHOOL,3002009,70,18.5,25.7%,19.0,57.1%,18.2,28.6%,19.7,25.7%,11.4%
MAGNET COVE SCHOOL DIST.,MAGNET COVE HIGH SCHOOL,3003014,45,19.4,28.9%,19.3,57.8%,19.1,26.7%,19.6,24.4%,17.8%
MALVERN SCHOOL DISTRICT,MALVERN HIGH SCHOOL,3004023,95,18.3,22.1%,17.9,47.4%,18.0,26.3%,18.4,16.8%,9.5%
OUACHITA SCHOOL DISTRICT,OUACHITA HIGH SCHOOL,3005030,19,17.1,5.3%,18.2,52.6%,18.2,21.1%,18.7,21.1%,0.0%
DIERKS SCHOOL DISTRICT,DIERKS HIGH SCHOOL,3102002,44,18.5,27.3%,19.2,52.3%,18.6,34.1%,18.2,31.8%,22.7%
MINERAL SPRINGS SCHOOL DISTRICT,MINERAL SPRINGS HIGH SCHOOL,3104006,25,16.5,8.0%,15.3,24.0%,16.1,12.0%,16.2,4.0%,4.0%
NASHVILLE SCHOOL DISTRICT,NASHVILLE HIGH SCHOOL,3105011,115,17.7,14.8%,17.2,42.6%,17.6,20.9%,17.8,11.3%,6.1%
BATESVILLE SCHOOL DISTRICT,BATESVILLE HIGH SCHOOL,3201005,206,17.8,20.9%,17.3,43.2%,18.7,29.1%,18.6,21.4%,11.7%
SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),SOUTHSIDE CHARTER HIGH SCHOOL,3209703,120,19.0,30.8%,18.4,52.5%,18.1,23.3%,18.3,17.5%,9.2%
MIDLAND SCHOOL DISTRICT,MIDLAND HIGH SCHOOL,3211035,27,16.6,7.4%,16.9,48.1%,18.3,22.2%,17.5,7.4%,0.0%
CEDAR RIDGE SCHOOL DISTRICT,CEDAR RIDGE HIGH SCHOOL,3212027,53,16.9,11.3%,16.7,35.8%,17.7,22.6%,16.8,9.4%,3.8%
CALICO ROCK SCHOOL DISTRICT,CALICO ROCK HIGH SCHOOL,3301002,23,19.2,30.4%,19.2,52.2%,19.6,30.4%,19.7,21.7%,21.7%
MELBOURNE SCHOOL DISTRICT,MELBOURNE HIGH SCHOOL,3302006,44,18.4,20.5%,19.7,68.2%,19.9,34.1%,20.3,29.5%,13.6%
IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,IZARD CO. CONS. HIGH SCHOOL,3306015,37,18.6,24.3%,19.1,59.5%,19.5,32.4%,18.6,18.9%,13.5%
NEWPORT SCHOOL DISTRICT,NEWPORT HIGH SCHOOL,3403013,78,16.9,12.8%,15.4,29.5%,16.7,19.2%,16.5,7.7%,2.6%
JACKSON CO. SCHOOL DISTRICT,TUCKERMAN HIGH SCHOOL,3405025,56,17.6,21.4%,18.6,46.4%,18.5,25.0%,18.3,21.4%,12.5%
DOLLARWAY SCHOOL DISTRICT,DOLLARWAY HIGH SCHOOL,3502010,54,15.6,3.7%,13.0,14.8%,14.7,5.6%,14.8,1.9%,0.0%
PINE BLUFF SCHOOL DISTRICT,PINE BLUFF HIGH SCHOOL,3505042,185,15.6,5.9%,13.4,16.8%,14.9,7.0%,15.3,4.3%,2.2%
WATSON CHAPEL SCHOOL DISTRICT,WATSON CHAPEL HIGH SCHOOL,3509067,193,16.6,9.3%,15.4,25.9%,16.7,17.1%,16.3,7.3%,3.6%
WHITE HALL SCHOOL DISTRICT,WHITE HALL HIGH SCHOOL,3510076,213,18.8,28.2%,18.2,48.4%,19.1,31.5%,19.2,25.4%,14.6%
RESPONSIVE ED SOLUTIONS QUEST MIDDLE SCHOOL OF PIN,QUEST MIDDLE SCHOOL OF PINE BLUFF,3542702,10,14.5,0.0%,12.0,10.0%,14.7,10.0%,14.8,0.0%,0.0%
CLARKSVILLE SCHOOL DISTRICT,CLARKSVILLE HIGH SCHOOL,3601005,175,18.1,21.1%,17.5,44.6%,18.6,25.7%,18.6,19.4%,11.4%
LAMAR SCHOOL DISTRICT,LAMAR HIGH SCHOOL,3604019,81,18.2,22.2%,17.5,46.9%,19.3,33.3%,19.2,19.8%,12.3%
WESTSIDE SCHOOL DIST(JOHNSON),WESTSIDE HIGH SCHOOL,3606026,51,17.1,13.7%,15.2,23.5%,17.0,17.6%,17.3,11.8%,5.9%
LAFAYETTE COUNTY SCHOOL DISTRICT,LAFAYETTE COUNTY HIGH SCHOOL,3704013,48,16.3,6.3%,16.1,39.6%,16.4,14.6%,17.3,8.3%,4.2%
HOXIE SCHOOL DISTRICT,HOXIE HIGH SCHOOL,3804010,63,18.9,30.2%,20.2,71.4%,19.6,34.9%,19.4,27.0%,19.0%
SLOAN-HENDRIX SCHOOL DISTRICT,SLOAN-HENDRIX HIGH SCHOOL,3806019,56,16.9,10.7%,17.9,44.6%,18.3,30.4%,17.6,19.6%,7.1%
HILLCREST SCHOOL DISTRICT,HILLCREST HIGH SCHOOL,3809023,28,17.8,25.0%,17.6,50.0%,17.4,21.4%,19.0,25.0%,17.9%
LAWRENCE COUNTY SCHOOL DISTRICT,WALNUT RIDGE HIGH SCHOOL,3810027,64,18.7,29.7%,18.4,48.4%,18.9,29.7%,18.5,20.3%,17.2%
LEE COUNTY SCHOOL DISTRICT,LEE HIGH SCHOOL,3904011,44,15.5,4.5%,13.5,22.7%,14.2,6.8%,15.6,2.3%,0.0%
STAR CITY SCHOOL DISTRICT,STAR CITY HIGH SCHOOL,4003016,114,17.6,19.3%,17.6,43.9%,17.3,20.2%,17.8,14.0%,8.8%
ASHDOWN SCHOOL DISTRICT,ASHDOWN HIGH SCHOOL,4101004,89,18.0,23.6%,18.6,49.4%,18.1,21.3%,18.4,16.9%,9.0%
FOREMAN SCHOOL DISTRICT,FOREMAN HIGH SCHOOL,4102010,43,16.9,9.3%,16.6,37.2%,17.8,14.0%,17.2,14.0%,7.0%
BOONEVILLE SCHOOL DISTRICT,BOONEVILLE HIGH SCHOOL,4201002,82,19.6,32.9%,18.2,54.9%,19.3,28.0%,19.1,23.2%,13.4%
MAGAZINE SCHOOL DISTRICT,MAGAZINE HIGH SCHOOL,4202008,39,17.7,20.5%,18.0,48.7%,18.8,28.2%,18.5,20.5%,10.3%
PARIS SCHOOL DISTRICT,PARIS HIGH SCHOOL,4203012,73,17.7,16.4%,17.1,37.0%,17.4,20.5%,18.3,19.2%,9.6%
SCRANTON SCHOOL DISTRICT,SCRANTON HIGH SCHOOL,4204019,28,22.2,57.1%,22.0,78.6%,21.8,46.4%,22.5,42.9%,39.3%
