tract_number,tract_county,tract_state,"18-24, less than high school graduate (percentage)","18-24, high school graduate (includes equivalency) (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate (includes equivalency) (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Population 18 to 24 years,"18-24, less than high school graduate","18-24, high school graduate (includes equivalency)","18-24, some college or associate's degree","18-24, bachelor's degree or higher",Population 25 years and over,"25 and over, less than 9th grade","25 and over, 9th to 12th grade, no diploma","25 and over, high school graduate (includes equivalency)","25 and over, some college, no degree","25 and over, associate's degree","25 and over, bachelor's degree","25 and over, graduate or professional degree"
21.03,Pulaski County,Arkansas,0.0%,61.3%,23.8%,14.9%,3.1%,2.1%,14.9%,23.2%,7.2%,27.3%,22.3%,315,0,193,75,47,2504,77,52,373,580,181,683,558
21.04,Pulaski County,Arkansas,0.0%,25.8%,61.9%,12.4%,0.4%,1.6%,15.2%,10.8%,2.4%,44.7%,24.8%,194,0,50,120,24,3932,17,62,598,426,96,1757,976
22.03,Pulaski County,Arkansas,12.7%,57.8%,3.2%,26.3%,0.8%,1.7%,15.2%,23.1%,10.3%,33.8%,15.0%,472,60,273,15,124,2881,24,49,438,665,298,974,433
22.06,Pulaski County,Arkansas,0.0%,64.8%,20.0%,15.1%,0.0%,2.4%,24.8%,24.8%,6.5%,21.1%,20.4%,1058,0,686,212,160,2377,0,57,589,590,155,502,484
22.08,Pulaski County,Arkansas,18.1%,36.2%,45.8%,0.0%,4.6%,1.0%,22.6%,28.3%,9.4%,22.6%,11.5%,177,32,64,81,0,1438,66,15,325,407,135,325,165
22.09,Pulaski County,Arkansas,26.7%,35.3%,33.6%,4.5%,2.1%,2.9%,20.4%,20.9%,9.5%,29.8%,14.5%,581,155,205,195,26,2030,42,58,415,425,192,604,294
22.10,Pulaski County,Arkansas,26.4%,7.6%,56.3%,9.7%,0.0%,0.0%,4.9%,11.5%,3.3%,34.4%,45.9%,144,38,11,81,14,1330,0,0,65,153,44,458,610
22.11,Pulaski County,Arkansas,11.4%,46.7%,41.9%,0.0%,0.3%,2.8%,21.5%,26.1%,4.2%,31.4%,13.6%,422,48,197,177,0,4292,14,122,921,1122,181,1347,585
24.03,Pulaski County,Arkansas,4.4%,60.9%,9.1%,25.6%,0.6%,8.2%,35.4%,24.2%,10.8%,13.7%,7.1%,386,17,235,35,99,2503,15,205,887,605,270,343,178
24.05,Pulaski County,Arkansas,19.5%,40.9%,32.4%,7.2%,4.1%,5.0%,21.1%,30.0%,7.9%,23.5%,8.5%,599,117,245,194,43,4127,169,208,870,1237,325,969,349
24.06,Pulaski County,Arkansas,14.9%,52.3%,32.9%,0.0%,2.3%,6.7%,38.1%,25.6%,9.4%,8.5%,9.3%,511,76,267,168,0,2110,49,142,804,540,198,180,197
24.07,Pulaski County,Arkansas,0.0%,42.3%,44.7%,13.0%,2.2%,8.0%,6.5%,17.3%,7.3%,32.8%,25.9%,123,0,52,55,16,1705,37,137,111,295,124,560,441
24.09,Pulaski County,Arkansas,6.1%,60.5%,23.4%,10.0%,2.4%,5.4%,28.0%,23.1%,7.3%,21.4%,12.4%,261,16,158,61,26,2003,48,108,560,463,147,429,248
24.10,Pulaski County,Arkansas,0.0%,73.0%,20.5%,6.6%,2.1%,10.3%,35.5%,28.9%,1.8%,14.4%,6.9%,259,0,189,53,17,2467,52,255,877,713,44,356,170
25,Pulaski County,Arkansas,0.0%,30.8%,24.7%,44.5%,4.1%,1.4%,18.1%,17.6%,12.3%,24.0%,22.5%,182,0,56,45,81,1007,41,14,182,177,124,242,227
26,Pulaski County,Arkansas,0.0%,100.0%,0.0%,0.0%,2.9%,10.5%,41.9%,37.5%,0.6%,5.1%,1.4%,21,0,21,0,0,863,25,91,362,324,5,44,12
27,Pulaski County,Arkansas,4.5%,50.6%,43.8%,1.0%,9.7%,14.4%,32.1%,13.0%,8.2%,20.4%,2.0%,682,31,345,299,7,3565,347,515,1146,464,292,729,72
28,Pulaski County,Arkansas,16.7%,35.8%,47.5%,0.0%,3.6%,29.4%,48.6%,7.6%,3.8%,7.1%,0.0%,204,34,73,97,0,984,35,289,478,75,37,70,0
29,Pulaski County,Arkansas,46.2%,53.8%,0.0%,0.0%,2.1%,14.1%,33.3%,31.9%,4.1%,11.2%,3.4%,182,84,98,0,0,715,15,101,238,228,29,80,24
30.01,Pulaski County,Arkansas,44.8%,15.1%,11.8%,28.3%,5.0%,9.9%,28.3%,26.5%,0.8%,15.3%,14.2%,212,95,32,25,60,1801,90,179,509,477,15,275,256
30.02,Pulaski County,Arkansas,38.3%,9.3%,35.5%,16.8%,4.8%,4.0%,46.6%,21.8%,5.6%,13.7%,3.4%,214,82,20,76,36,1982,95,80,923,433,111,272,68
31,Pulaski County,Arkansas,37.9%,22.7%,39.4%,0.0%,5.8%,12.8%,42.6%,26.0%,7.2%,2.3%,3.4%,132,50,30,52,0,711,41,91,303,185,51,16,24
32.02,Pulaski County,Arkansas,19.8%,28.9%,51.3%,0.0%,8.9%,5.2%,27.7%,21.2%,10.6%,16.6%,9.7%,318,63,92,163,0,4318,384,226,1198,917,457,715,421
32.07,Pulaski County,Arkansas,0.0%,90.6%,9.4%,0.0%,2.0%,7.4%,33.2%,29.4%,8.8%,14.4%,4.8%,64,0,58,6,0,1525,31,113,507,448,134,219,73
32.08,Pulaski County,Arkansas,16.5%,18.5%,39.5%,25.5%,5.4%,7.3%,41.9%,23.7%,8.8%,8.5%,4.3%,243,40,45,96,62,3543,193,259,1486,839,313,302,151
33.03,Pulaski County,Arkansas,0.0%,35.6%,31.1%,33.3%,1.4%,0.3%,25.5%,25.2%,3.1%,27.6%,16.9%,267,0,95,83,89,3658,50,12,933,921,112,1010,620
33.05,Pulaski County,Arkansas,0.0%,71.7%,25.1%,3.3%,7.3%,4.8%,36.4%,17.2%,6.7%,17.4%,10.2%,307,0,220,77,10,3038,222,146,1106,522,204,529,309
33.06,Pulaski County,Arkansas,17.8%,26.1%,19.0%,37.0%,2.3%,2.2%,30.8%,23.9%,10.9%,15.6%,14.4%,494,88,129,94,183,1998,46,43,615,477,218,312,287
33.07,Pulaski County,Arkansas,5.5%,17.7%,71.7%,5.1%,1.2%,0.9%,27.3%,15.9%,10.6%,24.3%,19.8%,237,13,42,170,12,1090,13,10,298,173,115,265,216
33.08,Pulaski County,Arkansas,6.7%,79.5%,0.0%,13.8%,0.0%,3.5%,18.3%,22.5%,6.8%,25.8%,23.2%,195,13,155,0,27,3184,0,112,583,715,215,821,738
34.03,Pulaski County,Arkansas,0.0%,23.6%,32.7%,43.8%,3.8%,8.1%,29.5%,20.8%,15.8%,12.0%,10.0%,208,0,49,68,91,2022,76,164,597,421,319,243,202
34.04,Pulaski County,Arkansas,63.3%,7.8%,28.9%,0.0%,0.3%,7.2%,41.4%,25.0%,11.6%,9.7%,4.8%,128,81,10,37,0,3306,11,237,1370,825,383,320,160
34.05,Pulaski County,Arkansas,0.0%,11.3%,88.8%,0.0%,4.6%,9.0%,17.0%,10.5%,2.8%,48.0%,8.0%,80,0,9,71,0,1033,48,93,176,108,29,496,83
34.06,Pulaski County,Arkansas,2.6%,44.4%,47.5%,5.5%,2.1%,2.6%,31.7%,27.7%,14.3%,16.3%,5.4%,419,11,186,199,23,3227,67,85,1023,894,460,525,173
36.04,Pulaski County,Arkansas,42.1%,3.0%,27.5%,27.3%,3.6%,4.7%,27.0%,28.0%,6.6%,24.7%,5.4%,560,236,17,154,153,4632,167,218,1249,1299,306,1145,248
36.05,Pulaski County,Arkansas,0.0%,66.6%,25.5%,7.9%,4.2%,8.9%,35.4%,17.1%,8.7%,17.1%,8.6%,467,0,311,119,37,3914,163,350,1385,671,340,670,335
36.06,Pulaski County,Arkansas,14.5%,36.6%,48.8%,0.0%,6.5%,13.3%,33.1%,31.9%,8.9%,4.3%,2.0%,344,50,126,168,0,1726,112,229,572,551,153,75,34
36.07,Pulaski County,Arkansas,0.0%,85.2%,12.5%,2.3%,5.2%,9.0%,26.7%,26.9%,13.2%,11.3%,7.7%,655,0,558,82,15,2720,141,245,727,733,358,306,210
36.08,Pulaski County,Arkansas,25.2%,35.5%,39.3%,0.0%,2.0%,2.4%,44.9%,25.3%,5.6%,14.4%,5.5%,679,171,241,267,0,3792,75,90,1703,960,212,545,207
36.09,Pulaski County,Arkansas,6.7%,12.4%,81.0%,0.0%,3.9%,5.3%,30.0%,30.7%,10.6%,10.1%,9.4%,105,7,13,85,0,2903,114,154,872,891,307,292,273
37.03,Pulaski County,Arkansas,6.0%,37.3%,19.1%,37.6%,0.9%,2.3%,25.6%,21.5%,10.3%,23.0%,16.3%,614,37,229,117,231,4568,43,106,1171,980,472,1050,746
37.04,Pulaski County,Arkansas,0.0%,51.5%,31.9%,16.7%,0.5%,5.0%,33.7%,23.6%,6.1%,18.9%,12.2%,204,0,105,65,34,2523,12,125,850,595,155,478,308
37.07,Pulaski County,Arkansas,18.1%,20.9%,37.7%,23.3%,3.5%,4.1%,24.2%,28.9%,9.6%,19.8%,9.9%,326,59,68,123,76,2696,95,110,653,778,259,535,266
37.11,Pulaski County,Arkansas,3.4%,57.8%,38.9%,0.0%,1.0%,1.3%,30.0%,30.2%,10.4%,18.5%,8.6%,507,17,293,197,0,4035,40,54,1211,1219,420,745,346
37.12,Pulaski County,Arkansas,12.7%,48.2%,31.0%,8.1%,2.2%,4.5%,16.6%,27.6%,9.2%,22.2%,17.7%,371,47,179,115,30,3075,67,139,510,848,284,682,545
37.13,Pulaski County,Arkansas,9.9%,45.1%,32.6%,12.5%,3.9%,1.8%,24.9%,24.3%,7.8%,23.1%,14.2%,506,50,228,165,63,2999,116,54,746,730,233,694,426
37.14,Pulaski County,Arkansas,18.0%,29.6%,37.6%,14.9%,0.5%,3.5%,11.0%,23.7%,7.8%,37.5%,16.1%,362,65,107,136,54,3455,16,122,381,818,268,1294,556
38,Pulaski County,Arkansas,40.1%,26.3%,0.0%,33.5%,7.2%,6.2%,28.8%,16.6%,9.6%,20.1%,11.5%,334,134,88,0,112,3070,220,189,884,511,294,618,354
39,Pulaski County,Arkansas,10.3%,41.1%,30.2%,18.4%,4.7%,5.9%,29.1%,23.8%,10.9%,15.3%,10.3%,358,37,147,108,66,3476,163,205,1011,826,379,533,359
40.01,Pulaski County,Arkansas,23.0%,19.4%,57.6%,0.0%,6.1%,6.1%,39.1%,19.4%,10.7%,15.0%,3.7%,417,96,81,240,0,1626,99,99,635,315,174,244,60
40.04,Pulaski County,Arkansas,0.0%,62.4%,24.1%,13.5%,1.3%,11.5%,39.0%,22.2%,11.6%,10.7%,3.7%,266,0,166,64,36,2720,36,313,1060,605,315,291,100
40.05,Pulaski County,Arkansas,8.0%,76.0%,5.1%,10.9%,8.7%,8.9%,41.2%,20.9%,9.1%,10.5%,0.8%,375,30,285,19,41,3030,263,269,1247,633,275,318,25
40.06,Pulaski County,Arkansas,8.9%,86.7%,0.0%,4.4%,5.4%,14.6%,42.1%,23.5%,6.1%,7.4%,0.8%,180,16,156,0,8,2196,119,321,925,516,134,163,18
40.07,Pulaski County,Arkansas,0.0%,95.2%,4.8%,0.0%,3.4%,5.6%,54.7%,17.4%,10.4%,6.4%,2.2%,104,0,99,5,0,1571,53,88,859,273,163,100,35
41.03,Pulaski County,Arkansas,35.0%,45.1%,5.4%,14.4%,5.9%,8.3%,36.9%,32.6%,6.8%,6.9%,2.7%,257,90,116,14,37,2514,148,208,928,819,171,173,67
41.04,Pulaski County,Arkansas,13.0%,5.3%,51.9%,29.8%,4.5%,4.1%,29.2%,22.3%,6.4%,18.2%,15.3%,131,17,7,68,39,1697,76,70,496,378,109,309,259
41.05,Pulaski County,Arkansas,10.4%,66.4%,23.2%,0.0%,9.8%,9.6%,34.9%,25.6%,4.0%,9.2%,6.8%,482,50,320,112,0,3916,385,374,1368,1004,157,361,267
41.06,Pulaski County,Arkansas,16.7%,10.2%,68.9%,4.2%,12.3%,2.3%,28.8%,27.6%,11.9%,12.9%,4.4%,647,108,66,446,27,3542,435,80,1019,977,420,456,155
41.07,Pulaski County,Arkansas,67.1%,21.0%,11.9%,0.0%,14.9%,10.5%,29.2%,18.2%,12.0%,11.9%,3.2%,295,198,62,35,0,1961,293,206,573,357,236,234,62
41.08,Pulaski County,Arkansas,19.4%,18.6%,49.6%,12.4%,14.8%,9.3%,34.1%,32.6%,4.8%,4.2%,0.2%,458,89,85,227,57,3661,540,340,1249,1195,175,155,7
42.01,Pulaski County,Arkansas,31.5%,17.3%,51.2%,0.0%,0.8%,5.4%,26.7%,15.9%,12.3%,24.2%,14.8%,162,51,28,83,0,2351,18,128,628,373,289,568,347
42.02,Pulaski County,Arkansas,9.6%,52.6%,0.7%,37.0%,0.0%,1.5%,16.1%,16.8%,6.6%,25.7%,33.3%,135,13,71,1,50,3364,0,51,543,564,223,864,1119
42.05,Pulaski County,Arkansas,3.9%,18.2%,29.3%,48.7%,0.3%,6.2%,12.5%,19.8%,4.1%,33.7%,23.3%,335,13,61,98,163,3121,10,195,390,619,128,1052,727
42.13,Pulaski County,Arkansas,15.3%,2.7%,75.3%,6.7%,2.1%,0.7%,8.1%,18.6%,1.8%,36.0%,32.8%,477,73,13,359,32,3682,76,24,300,686,65,1325,1206
42.14,Pulaski County,Arkansas,12.6%,7.9%,28.0%,51.6%,1.2%,0.5%,3.1%,19.0%,4.9%,38.6%,32.7%,483,61,38,135,249,2407,28,13,74,458,117,929,788
42.15,Pulaski County,Arkansas,0.0%,41.7%,45.9%,12.4%,1.7%,0.8%,9.1%,16.3%,8.4%,24.3%,39.4%,314,0,131,144,39,3541,60,28,322,577,296,862,1396
42.18,Pulaski County,Arkansas,24.3%,22.3%,6.9%,46.6%,0.3%,0.5%,20.6%,20.3%,11.5%,24.8%,21.9%,247,60,55,17,115,2481,8,12,512,503,286,616,544
42.19,Pulaski County,Arkansas,0.0%,12.4%,18.1%,69.5%,0.8%,1.5%,7.1%,14.8%,5.3%,33.9%,36.6%,105,0,13,19,73,3752,29,56,268,556,197,1273,1373
42.20,Pulaski County,Arkansas,10.1%,59.7%,29.3%,0.9%,6.3%,1.3%,20.6%,23.1%,4.9%,26.9%,16.9%,335,34,200,98,3,4475,281,56,924,1035,218,1204,757
42.22,Pulaski County,Arkansas,0.0%,44.2%,48.9%,6.9%,0.0%,4.1%,15.9%,28.3%,7.0%,26.2%,18.5%,231,0,102,113,16,1620,0,66,258,459,113,425,299
42.23,Pulaski County,Arkansas,19.2%,7.5%,41.1%,32.2%,2.9%,0.0%,13.4%,10.9%,5.6%,34.6%,32.6%,214,41,16,88,69,2500,73,0,336,272,139,864,816
42.24,Pulaski County,Arkansas,1.0%,18.7%,16.2%,64.1%,0.0%,0.0%,10.3%,16.6%,4.4%,32.8%,35.8%,198,2,37,32,127,4231,1,1,434,704,187,1388,1516
42.25,Pulaski County,Arkansas,0.0%,8.8%,32.5%,58.7%,1.1%,2.5%,22.6%,9.9%,10.0%,17.9%,35.9%,317,0,28,103,186,2274,25,57,515,225,228,408,816
42.26,Pulaski County,Arkansas,0.0%,59.6%,26.7%,13.7%,3.4%,4.0%,22.6%,36.8%,11.9%,12.1%,9.2%,146,0,87,39,20,2410,82,96,545,888,287,291,221
42.27,Pulaski County,Arkansas,36.1%,36.1%,27.7%,0.0%,1.5%,1.2%,39.7%,23.5%,7.1%,14.4%,12.6%,83,30,30,23,0,935,14,11,371,220,66,135,118
42.28,Pulaski County,Arkansas,28.3%,26.4%,26.4%,18.9%,0.0%,0.3%,19.9%,15.9%,0.9%,34.3%,28.7%,53,15,14,14,10,2195,0,7,437,348,20,753,630
42.29,Pulaski County,Arkansas,7.3%,24.4%,7.8%,60.5%,0.0%,0.9%,8.2%,10.3%,3.7%,35.4%,41.5%,205,15,50,16,124,2950,0,27,242,304,110,1043,1224
43.02,Pulaski County,Arkansas,13.3%,48.1%,38.6%,0.0%,1.4%,5.3%,40.8%,22.4%,6.4%,19.2%,4.4%,264,35,127,102,0,3502,50,186,1429,784,224,674,155
43.06,Pulaski County,Arkansas,4.2%,25.1%,23.4%,47.2%,0.9%,1.9%,13.2%,21.1%,16.6%,26.2%,20.1%,354,15,89,83,167,4310,40,80,569,908,717,1131,865
43.07,Pulaski County,Arkansas,0.0%,12.3%,51.9%,35.7%,0.0%,1.5%,29.4%,8.9%,22.9%,22.7%,14.7%,470,0,58,244,168,3893,1,57,1143,345,890,885,572
43.08,Pulaski County,Arkansas,0.0%,34.3%,41.7%,24.0%,0.0%,2.7%,12.0%,39.9%,4.6%,18.4%,22.4%,492,0,169,205,118,2088,0,57,250,833,96,385,467
43.09,Pulaski County,Arkansas,9.8%,87.5%,2.7%,0.0%,1.4%,3.0%,11.2%,17.7%,3.2%,31.5%,32.0%,224,22,196,6,0,2367,33,70,266,420,75,746,757
43.10,Pulaski County,Arkansas,46.6%,12.6%,0.0%,40.8%,2.8%,6.1%,22.2%,22.7%,14.0%,20.4%,11.8%,206,96,26,0,84,2816,78,172,625,640,394,575,332
43.11,Pulaski County,Arkansas,12.1%,42.2%,45.3%,0.4%,0.0%,3.9%,13.2%,12.5%,10.1%,39.2%,21.1%,256,31,108,116,1,2842,0,110,374,355,287,1115,601
44,Pulaski County,Arkansas,4.1%,0.0%,6.2%,89.7%,0.6%,5.5%,8.3%,12.6%,6.5%,28.5%,38.0%,146,6,0,9,131,1743,10,95,145,219,114,497,663
45,Pulaski County,Arkansas,5.2%,7.6%,84.8%,2.4%,3.0%,7.2%,34.7%,27.8%,3.2%,17.2%,6.9%,580,30,44,492,14,1217,37,88,422,338,39,209,84
46,Pulaski County,Arkansas,0.0%,12.0%,75.2%,12.8%,0.7%,1.1%,22.4%,24.9%,6.8%,24.9%,19.3%,258,0,31,194,33,1432,10,16,321,356,97,356,276
47,Pulaski County,Arkansas,7.3%,24.2%,59.4%,9.1%,1.6%,3.5%,18.6%,18.9%,7.7%,30.7%,18.9%,219,16,53,130,20,2528,41,89,470,477,195,777,479
48.01,Pulaski County,Arkansas,16.7%,21.7%,15.0%,46.7%,0.5%,1.3%,21.3%,12.1%,7.7%,33.7%,23.4%,240,40,52,36,112,1749,9,22,373,212,135,589,409
49.01,Pulaski County,Arkansas,1.4%,13.7%,54.3%,30.6%,0.2%,4.2%,12.8%,12.0%,2.5%,44.0%,24.4%,219,3,30,119,67,1896,3,79,242,227,48,835,462
49.02,Pulaski County,Arkansas,27.8%,13.0%,39.1%,20.1%,0.0%,0.0%,5.9%,8.4%,7.7%,45.8%,32.1%,169,47,22,66,34,2476,0,0,147,209,191,1134,795
9801,Pulaski County,Arkansas,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
9802,Pulaski County,Arkansas,3.9%,20.7%,43.6%,31.8%,3.2%,6.8%,55.2%,26.2%,2.5%,6.1%,0.0%,179,7,37,78,57,279,9,19,154,73,7,17,0
9803,Pulaski County,Arkansas,0.5%,49.5%,46.7%,3.3%,0.0%,2.5%,12.0%,26.0%,14.7%,20.4%,24.5%,979,5,485,457,32,1321,0,33,158,344,194,269,323
9804,Pulaski County,Arkansas,0.0%,68.0%,32.0%,0.0%,10.6%,15.2%,31.2%,25.6%,4.6%,12.7%,0.0%,25,0,17,8,0,433,46,66,135,111,20,55,0
9601,Randolph County,Arkansas,20.4%,41.9%,20.4%,17.2%,6.5%,9.7%,38.0%,21.5%,12.5%,9.1%,2.6%,279,57,117,57,48,3027,197,295,1151,652,378,274,80
9602.01,Randolph County,Arkansas,7.8%,76.6%,15.6%,0.0%,3.8%,10.3%,33.5%,34.2%,5.6%,6.2%,6.2%,141,11,108,22,0,1491,57,154,500,510,84,93,93
9602.02,Randolph County,Arkansas,16.3%,78.0%,5.6%,0.0%,5.1%,8.5%,39.1%,21.1%,7.1%,11.4%,7.7%,355,58,277,20,0,2735,140,232,1070,578,194,311,210
9603.01,Randolph County,Arkansas,7.6%,42.6%,45.5%,4.3%,5.5%,5.9%,39.5%,21.8%,7.4%,9.7%,10.3%,277,21,118,126,12,3039,168,178,1199,661,224,295,314
9603.02,Randolph County,Arkansas,10.9%,41.8%,47.4%,0.0%,5.9%,8.6%,50.8%,15.4%,12.1%,4.8%,2.4%,340,37,142,161,0,2485,147,214,1262,382,300,120,60
9601,St. Francis County,Arkansas,15.3%,28.4%,34.1%,22.2%,6.3%,11.0%,47.3%,19.1%,7.3%,3.9%,5.1%,176,27,50,60,39,1576,99,173,746,301,115,61,81
9602.01,St. Francis County,Arkansas,64.2%,10.8%,20.8%,4.2%,3.4%,8.1%,39.3%,25.7%,11.4%,5.9%,6.2%,120,77,13,25,5,1365,46,110,537,351,156,80,85
9602.02,St. Francis County,Arkansas,0.0%,53.8%,37.5%,8.8%,2.5%,7.7%,42.3%,18.0%,7.9%,10.3%,11.3%,80,0,43,30,7,2194,54,168,929,395,173,227,248
9603,St. Francis County,Arkansas,32.1%,34.2%,33.7%,0.0%,4.0%,6.8%,48.9%,21.8%,5.9%,10.3%,2.3%,184,59,63,62,0,1625,65,111,795,354,96,167,37
9604,St. Francis County,Arkansas,61.3%,18.4%,20.3%,0.0%,3.2%,15.0%,36.4%,32.6%,7.3%,5.1%,0.3%,483,296,89,98,0,2435,78,366,887,795,178,123,8
9605,St. Francis County,Arkansas,40.8%,16.6%,20.2%,22.4%,5.8%,11.6%,27.1%,20.3%,7.9%,18.3%,9.1%,223,91,37,45,50,2085,120,241,564,424,165,381,190
9606,St. Francis County,Arkansas,16.7%,54.0%,23.1%,6.3%,4.8%,9.2%,55.0%,18.7%,4.2%,2.9%,5.2%,480,80,259,111,30,4863,234,446,2674,909,205,140,255
101.01,Saline County,Arkansas,16.5%,55.6%,21.2%,6.7%,2.1%,12.8%,37.0%,24.6%,8.5%,11.0%,4.0%,448,74,249,95,30,2655,56,340,982,654,226,291,106
101.04,Saline County,Arkansas,12.9%,39.9%,40.4%,6.7%,0.6%,2.9%,27.6%,17.8%,15.7%,22.4%,12.9%,178,23,71,72,12,2829,17,83,781,504,444,634,366
101.05,Saline County,Arkansas,8.1%,43.9%,44.5%,3.5%,0.9%,2.5%,33.9%,28.7%,9.4%,17.9%,6.7%,371,30,163,165,13,3808,35,95,1291,1094,357,681,255
101.06,Saline County,Arkansas,0.0%,53.8%,46.2%,0.0%,1.2%,0.2%,41.0%,22.4%,9.6%,14.1%,11.4%,130,0,70,60,0,2335,27,5,958,524,225,329,267
101.07,Saline County,Arkansas,6.6%,34.1%,50.5%,8.8%,2.5%,4.3%,38.3%,18.1%,10.7%,18.0%,8.1%,662,44,226,334,58,3594,90,154,1378,650,384,646,292
103.01,Saline County,Arkansas,11.6%,31.3%,53.7%,3.4%,0.0%,0.6%,34.4%,25.7%,10.4%,19.7%,9.2%,948,110,297,509,32,2950,0,17,1016,759,307,581,270
103.02,Saline County,Arkansas,6.8%,0.0%,88.7%,4.5%,5.7%,4.1%,32.7%,22.6%,6.0%,18.4%,10.5%,265,18,0,235,12,2762,157,114,903,624,167,508,289
103.03,Saline County,Arkansas,29.6%,19.8%,50.6%,0.0%,0.0%,1.7%,23.2%,23.8%,6.9%,31.0%,13.4%,520,154,103,263,0,2841,0,48,659,677,197,880,380
104.05,Saline County,Arkansas,33.4%,49.9%,12.4%,4.3%,1.1%,6.4%,37.7%,20.0%,10.9%,15.3%,8.6%,533,178,266,66,23,3494,38,223,1318,699,382,534,300
104.06,Saline County,Arkansas,21.0%,35.6%,43.4%,0.0%,7.0%,5.8%,36.9%,25.4%,4.3%,13.7%,6.9%,267,56,95,116,0,3647,255,213,1347,926,156,500,250
104.07,Saline County,Arkansas,7.8%,62.0%,30.2%,0.0%,1.0%,6.1%,39.5%,24.3%,10.9%,13.6%,4.6%,321,25,199,97,0,3337,34,203,1319,811,364,454,152
104.08,Saline County,Arkansas,17.0%,25.0%,53.7%,4.3%,5.4%,5.3%,37.1%,22.3%,17.2%,8.7%,4.0%,324,55,81,174,14,5458,296,291,2024,1215,937,474,221
104.09,Saline County,Arkansas,20.9%,48.0%,11.7%,19.4%,2.6%,9.7%,38.0%,25.9%,6.1%,13.0%,4.7%,196,41,94,23,38,1841,47,179,699,477,113,239,87
104.10,Saline County,Arkansas,0.0%,28.4%,37.0%,34.6%,5.3%,10.5%,15.7%,11.6%,17.8%,34.8%,4.3%,81,0,23,30,28,1857,99,195,291,215,330,647,80
104.11,Saline County,Arkansas,6.5%,30.7%,56.8%,5.9%,3.9%,3.8%,26.1%,17.4%,6.4%,27.7%,14.5%,322,21,99,183,19,4158,163,159,1087,725,267,1153,604
105.07,Saline County,Arkansas,3.4%,62.0%,33.1%,1.5%,1.3%,3.2%,41.0%,20.4%,6.5%,19.9%,7.7%,610,21,378,202,9,2910,38,92,1193,595,190,578,224
105.08,Saline County,Arkansas,15.6%,12.4%,56.1%,15.9%,2.0%,6.4%,32.0%,21.8%,8.9%,19.9%,9.0%,403,63,50,226,64,3504,70,226,1120,763,312,698,315
105.09,Saline County,Arkansas,17.3%,53.6%,16.3%,12.8%,1.7%,2.7%,26.6%,19.1%,12.1%,22.9%,14.9%,539,93,289,88,69,3769,63,101,1003,721,455,863,563
105.11,Saline County,Arkansas,13.5%,39.6%,42.6%,4.3%,4.0%,5.5%,23.6%,18.7%,7.4%,27.8%,13.1%,599,81,237,255,26,4559,182,249,1077,852,336,1268,595
105.12,Saline County,Arkansas,37.8%,32.2%,24.5%,5.6%,0.4%,4.1%,38.6%,23.5%,4.9%,19.1%,9.4%,143,54,46,35,8,2544,10,105,983,598,124,486,238
105.13,Saline County,Arkansas,52.8%,28.9%,16.9%,1.4%,0.0%,5.9%,36.6%,29.3%,13.9%,12.1%,2.2%,142,75,41,24,2,2088,0,123,764,612,291,253,45
105.14,Saline County,Arkansas,14.2%,70.2%,11.5%,4.1%,3.3%,11.2%,33.8%,17.6%,7.2%,14.9%,12.1%,218,31,153,25,9,2470,82,276,834,434,178,368,298
105.15,Saline County,Arkansas,-,-,-,-,0.0%,0.5%,18.1%,29.9%,6.8%,31.4%,13.3%,0,0,0,0,0,2426,0,12,440,725,165,762,322
105.16,Saline County,Arkansas,0.0%,0.0%,100.0%,0.0%,0.1%,3.4%,26.7%,29.5%,3.0%,24.2%,13.2%,24,0,0,24,0,1755,1,60,468,518,53,424,231
105.17,Saline County,Arkansas,0.0%,0.0%,100.0%,0.0%,1.9%,0.3%,32.3%,22.6%,14.2%,18.1%,10.5%,15,0,0,15,0,2927,56,10,945,662,417,529,308
105.18,Saline County,Arkansas,4.5%,38.3%,17.7%,39.6%,5.4%,2.6%,33.1%,16.9%,10.7%,18.6%,12.7%,379,17,145,67,150,2148,115,56,711,364,230,400,272
105.19,Saline County,Arkansas,8.1%,75.6%,9.6%,6.7%,1.4%,1.8%,24.5%,17.6%,12.3%,29.7%,12.6%,135,11,102,13,9,3329,47,61,816,587,408,989,421
105.20,Saline County,Arkansas,19.1%,49.6%,31.3%,0.0%,12.1%,11.2%,33.6%,11.3%,2.2%,23.0%,6.6%,115,22,57,36,0,1128,137,126,379,127,25,259,75
106.01,Saline County,Arkansas,26.7%,29.7%,43.6%,0.0%,7.1%,5.1%,42.8%,25.5%,7.2%,8.3%,4.0%,266,71,79,116,0,2306,164,118,987,587,166,192,92
106.02,Saline County,Arkansas,0.0%,58.1%,41.9%,0.0%,0.0%,11.3%,44.7%,18.3%,8.6%,13.7%,3.4%,74,0,43,31,0,1688,0,190,754,309,145,232,58
9501,Scott County,Arkansas,5.4%,50.0%,36.7%,7.8%,4.4%,8.4%,47.3%,24.6%,7.5%,6.0%,1.8%,166,9,83,61,13,2843,125,239,1346,698,214,170,51
