Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
142,Jacksonville Lighthouse College Prep Academy High,12-Sep,Jacksonville Lighthouse Charter,0.083,0.333,0.167,0.167,0.083,78,0.7051,0.1026,0.0385,0.7949,0.06,0.9,3,13,12,0.923076923,14.3,15.2,16.7,16.4,1,PULASKI,6050703,6050700,Arkansas,34.8674331,-92.1270445,,N/A,Pulaski County,Jacksonville,5119,,3605,5119003605,2023,3604,Pulaski County,Arkansas,467,0,311,119,37,3914,163,350,1385,671,340,670,335,0,66.6,25.5,7.9,4.2,8.9,35.4,17.1,8.7,17.1,8.6,2510,47330,64277,5855,537,9.2,5318,90.8,2187,37.4,2921,49.9,0,0,58,1,0,0,24,0.4,128,2.2,14.3,16.7
143,Jasper High School,12-Jul,Jasper School District,RV,0.375,0.2,0.05,RV,204,0.6324,0.9853,0.0049,0.0049,0,0.01,1,43,40,0.930232558,15.6,16.1,17.6,17.3,0,NEWTON,5102006,5102000,Arkansas,36.0050667,-93.1899672,600 School Street,72641,Newton County,Jasper,5101,"600 School Street, Jasper, Arkansas, 72641",180100,5101180100,2023,180100,Newton County,Arkansas,331,68,117,136,10,2547,70,312,763,737,220,253,192,20.5,35.3,41.1,3,2.7,12.2,30,28.9,8.6,9.9,7.5,1497,52917,62197,3687,38,1,3649,99,3453,93.7,11,0.3,4,0.1,6,0.2,7,0.2,17,0.5,151,4.1,15.6,17.6
144,Jessieville High School,12-Sep,Jessieville School District,0.341,0.568,0.432,0.364,0.205,259,0.6602,0.7915,0.0772,0.0154,0.12,0.21,3,64,44,0.6875,18.7,19.7,19.8,20.1,0,GARLAND,2604030,2604000,Arkansas,34.6998624,-93.0618054,7900 North Highway 7,71949,Garland County,Hot Springs Village,5051,"7900 North Highway 7, Hot Springs Village, Arkansas, 71949",12001,5051012001,2023,12001,Garland County,Arkansas,83,0,83,0,0,4090,72,55,1189,1063,732,502,477,0,100,0,0,1.8,1.3,29.1,26,17.9,12.3,11.7,2381,57569,65448,4671,128,2.7,4543,97.3,4379,93.7,62,1.3,29,0.6,0,0,0,0,0,0,73,1.6,18.7,19.8
145,Joe T. Robinson High School,12-Sep,Pulaski County Special School District,0.196,0.476,0.327,0.232,0.149,845,0.2544,0.5006,0.0852,0.3373,0.08,0.5,3,189,168,0.888888889,17.5,17.8,19,18.8,0,PULASKI,6003127,6003000,Arkansas,34.8139114,-92.5068359,21501 Cantrell Road,72223,Pulaski County,Little Rock,5119,"21501 Cantrell Road, Little Rock, Arkansas, 72223",4213,5119004213,2023,4213,Pulaski County,Arkansas,477,73,13,359,32,3682,76,24,300,686,65,1325,1206,15.3,2.7,75.3,6.7,2.1,0.7,8.1,18.6,1.8,36,32.8,2184,182833,251862,5280,17,0.3,5263,99.7,4323,81.9,466,8.8,0,0,346,6.6,0,0,0,0,128,2.4,17.5,19
146,Junction City High School,12-Jul,Junction City School District,0.047,0.395,0.256,0.14,0.023,310,0.6742,0.529,0.0194,0.4387,0.01,0.47,4,51,43,0.843137255,15.3,17.1,17.8,17.6,0,UNION,7003028,7003000,Arkansas,33.0202734,-92.7282967,538 North Elm Street,71749,Union County,Junction City,5139,"538 North Elm Street, Junction City, Arkansas, 71749",950402,5139950402,2023,950402,Union County,Arkansas,228,5,117,106,0,2554,11,210,911,494,207,542,179,2.2,51.3,46.5,0,0.4,8.2,35.7,19.3,8.1,21.2,7,1433,67617,99337,3758,194,5.2,3564,94.8,2680,71.3,712,18.9,10,0.3,0,0,0,0,0,0,162,4.3,15.3,17.8
147,Kingston High School,12-Jul,Jasper School District,0.067,0.267,0.267,0.2,0.067,100,0.55,0.87,0.03,0,0.1,0.13,1,15,15,1,15.5,14.8,17.2,17.9,0,NEWTON,5102008,5102000,Arkansas,36.0540657,-93.5163726,220 Madison 2620,72742,Madison County,Kingston,5087,"220 Madison 2620, Kingston, Arkansas, 72742",960400,5087960400,2023,960400,Madison County,Arkansas,44,2,40,2,0,2536,124,233,1355,458,44,177,145,4.5,90.9,4.5,0,4.9,9.2,53.4,18.1,1.7,7,5.7,1289,58854,68033,3157,29,0.9,3128,99.1,2493,79,0,0,7,0.2,14,0.4,40,1.3,18,0.6,556,17.6,15.5,17.2
148,KIPP Blytheville Collegiate High School,12-Jul,KIPP Delta Public Schools,RV,0.143,0.071,RV,RV,133,0.8571,0.0977,0.0677,0.812,0.02,0.9,5,18,14,0.777777778,15.1,14.3,15.1,14.7,1,PHILLIPS,5440706,5440700,Arkansas,35.9284963,-89.9080319,,72315,Mississippi County,Blytheville,5093,,10100,5093010100,2023,10100,Mississippi County,Arkansas,89,21,31,37,0,1041,19,126,579,252,2,18,45,23.6,34.8,41.6,0,1.8,12.1,55.6,24.2,0.2,1.7,4.3,576,27174,39502,1641,64,3.9,1577,96.1,375,22.9,1125,68.6,0,0,0,0,0,0,68,4.1,9,0.5,15.1,15.1
149,KIPP Delta Collegiate High School,12-Sep,KIPP Delta Public Schools,0.045,0.091,RV,RV,RV,201,0.8856,0.0398,0.01,0.9502,0,0.96,5,57,44,0.771929825,13.3,11.4,13.2,15.3,1,PHILLIPS,5440703,5440700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,13.3,13.2
150,Kirby High School,12-Jul,Kirby School District,0.036,0.179,0.214,0.107,0.036,199,0.7035,0.8191,0.1357,0.005,0.04,0.18,4,36,28,0.777777778,15.3,14,16.3,15.7,0,PIKE,5503011,5503000,Arkansas,34.2482513,-93.6399655,2614 Arkansas 27,71950,Pike County,Kirby,5109,"2614 Arkansas 27, Kirby, Arkansas, 71950",953300,5109953300,2023,953300,Pike County,Arkansas,411,13,158,182,58,2396,321,111,741,619,166,307,131,3.2,38.4,44.3,14.1,13.4,4.6,30.9,25.8,6.9,12.8,5.5,1423,48661,70422,3510,624,17.8,2886,82.2,2726,77.7,73,2.1,0,0,0,0,0,0,0,0,87,2.5,15.3,16.3
152,Lake Hamilton High School,12-Oct,Lake Hamilton School District,0.251,0.592,0.372,0.287,0.166,901,0.6104,0.7392,0.1421,0.0311,0.09,0.26,3,312,223,0.71474359,18.5,19.5,19.6,19.7,0,GARLAND,2605034,2605000,Arkansas,34.4409766,-93.2123587,280 Wolf Street,71964,Garland County,Pearcy,5051,"280 Wolf Street, Pearcy, Arkansas, 71964",11101,5051011101,2023,11101,Garland County,Arkansas,421,39,226,62,94,3836,138,300,1274,816,314,722,272,9.3,53.7,14.7,22.3,3.6,7.8,33.2,21.3,8.2,18.8,7.1,2087,64848,84936,5344,50,0.9,5294,99.1,4987,93.3,68,1.3,0,0,0,0,0,0,0,0,239,4.5,18.5,19.6
153,Lakeside High School,12-Sep,Lakeside School District (Chicot),0.034,0.207,0.086,0.086,RV,268,0.7799,0.0672,0.153,0.7612,0.02,0.93,5,65,58,0.892307692,14.9,13,15.1,16.3,0,CHICOT,903018,903000,Arkansas,33.3252057,-91.3104254,1110 South Lakeshore Drive,71653,Chicot County,Lake Village,5017,"1110 South Lakeshore Drive, Lake Village, Arkansas, 71653",80300,5017080300,2023,80300,Chicot County,Arkansas,248,22,138,80,8,1871,143,167,688,384,131,203,155,8.9,55.6,32.3,3.2,7.6,8.9,36.8,20.5,7,10.8,8.3,1074,45179,57712,2816,332,11.8,2484,88.2,1086,38.6,1328,47.2,0,0,18,0.6,0,0,0,0,52,1.8,14.9,15.1
154,Lakeside High School,12-Sep,Lakeside School District (Garland),0.223,0.653,0.45,0.302,0.145,1114,0.3968,0.7092,0.1329,0.0781,0.08,0.29,3,268,242,0.902985075,18.4,19.9,21.2,20.1,0,GARLAND,2606044,2606000,Arkansas,34.4741704,-92.9970904,2871 Malvern Avenue,71901,Garland County,Hot Springs,5051,"2871 Malvern Avenue, Hot Springs, Arkansas, 71901",11601,5051011601,2023,11601,Garland County,Arkansas,558,39,311,191,17,3251,50,90,812,658,338,810,493,7,55.7,34.2,3,1.5,2.8,25,20.2,10.4,24.9,15.2,1982,70732,94115,4930,560,11.4,4370,88.6,3643,73.9,389,7.9,0,0,112,2.3,0,0,0,0,226,4.6,18.4,21.2
155,Lamar High School,12-Sep,Lamar School District,0.369,0.492,0.338,0.292,0.185,360,0.7028,0.8667,0.0778,0.0194,0.04,0.13,1,93,65,0.698924731,19.9,17.8,18.7,19.9,0,JOHNSON,3604019,3604000,Arkansas,35.4385484,-93.3989373,358 Lewis Street,72846,Johnson County,Lamar,5071,"358 Lewis Street, Lamar, Arkansas, 72846",952200,5071952200,2023,952200,Johnson County,Arkansas,200,62,74,52,12,3371,161,303,1460,649,208,415,175,31,37,26,6,4.8,9,43.3,19.3,6.2,12.3,5.2,2011,58069,63208,4998,231,4.6,4767,95.4,4555,91.1,38,0.8,0,0,8,0.2,0,0,0,0,166,3.3,19.9,18.7
156,Lavaca High School,12-Sep,Lavaca School District,0.176,0.5,0.353,0.191,0.132,268,0.4478,0.8097,0.0896,0.0037,0.1,0.19,1,71,68,0.957746479,17.5,17.7,18.9,18.5,0,SEBASTIAN,6605057,6605000,Arkansas,35.3318303,-94.1752146,311 West Holly Street,72941,Sebastian County,Lavaca,5131,"311 West Holly Street, Lavaca, Arkansas, 72941",10101,5131010101,2023,10101,Sebastian County,Arkansas,357,43,149,142,23,3979,333,205,1455,1120,257,410,199,12,41.7,39.8,6.4,8.4,5.2,36.6,28.1,6.5,10.3,5,2311,71678,93058,5780,219,3.8,5561,96.2,5207,90.1,20,0.3,10,0.2,8,0.1,0,0,0,0,316,5.5,17.5,18.9
157,Lead Hill High School,12-Jul,Lead Hill School District,0.05,0.5,0.35,0.1,0.05,178,0.7191,0.927,0.0169,0,0.06,0.07,1,32,20,0.625,15.9,17.8,18.7,18.2,0,BOONE,506032,506000,Arkansas,36.4050121,-92.9089864,6967 Milum Road,72644,Boone County,Lead Hill,5009,"6967 Milum Road, Lead Hill, Arkansas, 72644",790200,5009790200,2023,790200,Boone County,Arkansas,485,57,203,216,9,4223,93,342,1407,1195,575,460,151,11.8,41.9,44.5,1.9,2.2,8.1,33.3,28.3,13.6,10.9,3.6,2246,60244,80876,6220,127,2,6093,98,5691,91.5,28,0.5,31,0.5,65,1,2,0,26,0.4,250,4,15.9,18.7
158,Lee High School,12-Jul,Lee County School District,RV,0.067,0.044,RV,RV,279,0.8674,0.0717,0.0538,0.8674,0.01,0.93,5,48,45,0.9375,13.9,11.8,13.5,14.2,0,LEE,3904011,3904000,Arkansas,34.7737082,-90.7576112,,72360,Lee County,Marianna,5077,,470300,5077470300,2023,470300,Lee County,Arkansas,453,23,326,104,0,2168,59,216,897,638,208,111,39,5.1,72,23,0,2.7,10,41.4,29.4,9.6,5.1,1.8,1257,20860,39550,3577,4,0.1,3573,99.9,575,16.1,2874,80.3,0,0,0,0,0,0,0,0,124,3.5,13.9,13.5
159,Lincoln High School,12-Sep,Lincoln School District,0.123,0.491,0.404,0.228,0.123,359,0.6379,0.7549,0.1309,0.0111,0.1,0.25,1,99,57,0.575757576,17,17.7,19.4,19.2,0,WASHINGTON,7205706,7205000,Arkansas,35.9468219,-94.4051173,1392 East Pridemore Drive,72744,Washington County,Lincoln,5143,"1392 East Pridemore Drive, Lincoln, Arkansas, 72744",11002,5143011002,2023,11002,Washington County,Arkansas,511,268,103,138,2,3793,94,278,1791,647,427,383,173,52.4,20.2,27,0.4,2.5,7.3,47.2,17.1,11.3,10.1,4.6,2118,62283,74399,5750,314,5.5,5436,94.5,4369,76,0,0,33,0.6,22,0.4,0,0,34,0.6,978,17,17,19.4
160,Lisa Academy Arkansas Hybrid School,K-12,Lisa Academy,0.056,0.278,0.333,0.056,0.056,251,0.4781,0.259,0.1195,0.4781,0.14,0.74,3,19,18,0.947368421,14.9,15.1,16.8,16.9,1,PULASKI,6041709,6041700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,14.9,16.8
161,Lisa Academy North High School,12-Sep,Lisa Academy,0.281,0.491,0.439,0.316,0.211,288,0.5938,0.25,0.2778,0.3715,0.1,0.75,3,64,57,0.890625,19.5,17.9,19.1,18.9,1,PULASKI,6041706,6041700,Arkansas,34.7514746,-92.388168,23 Corporate Hill Drive,72205,Pulaski County,Little Rock,5119,"23 Corporate Hill Drive, Little Rock, Arkansas, 72205",2208,5119002208,2023,2208,Pulaski County,Arkansas,177,32,64,81,0,1438,66,15,325,407,135,325,165,18.1,36.2,45.8,0,4.6,1,22.6,28.3,9.4,22.6,11.5,893,63886,69460,2088,157,7.5,1931,92.5,1014,48.6,666,31.9,31,1.5,120,5.7,10,0.5,0,0,90,4.3,19.5,19.1
162,Lisa Academy West High  School,12-Sep,Lisa Academy,0.203,0.418,0.253,0.203,0.139,386,0.728,0.1114,0.4145,0.4041,0.07,0.89,3,82,79,0.963414634,17.5,16.8,17.6,18.3,1,PULASKI,6041703,6041700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,17.5,17.6
163,Little Rock Hall Steam Magnet High School,12-Sep,Little Rock School District,0.091,0.273,0.205,0.114,0.023,305,0.7738,0.0852,0.0951,0.8033,0.02,0.91,3,87,44,0.505747126,15.6,15,16.2,16.3,0,PULASKI,6001083,6001000,Arkansas,34.7605212,-92.3474361,6700 H Street,72205,Pulaski County,Little Rock,5119,"6700 H Street, Little Rock, Arkansas, 72205",2104,5119002104,2023,2104,Pulaski County,Arkansas,194,0,50,120,24,3932,17,62,598,426,96,1757,976,0,25.8,61.9,12.4,0.4,1.6,15.2,10.8,2.4,44.7,24.8,2291,116197,130696,5289,0,0,5289,100,4161,78.7,750,14.2,27,0.5,123,2.3,0,0,0,0,228,4.3,15.6,16.2
164,Little Rock Southwest High School,12-Sep,Little Rock School District,0.026,0.162,0.085,0.029,0.009,2163,0.8114,0.0476,0.338,0.5973,0.02,0.95,3,506,340,0.671936759,14.4,12.9,14.4,15.8,0,PULASKI,6001082,6001000,Arkansas,34.6622517,-92.3858553,9715 Mabelvale Pike,72103,Pulaski County,Little Rock,5119,"9715 Mabelvale Pike, Little Rock, Arkansas, 72103",4105,5119004105,2023,4105,Pulaski County,Arkansas,482,50,320,112,0,3916,385,374,1368,1004,157,361,267,10.4,66.4,23.2,0,9.8,9.6,34.9,25.6,4,9.2,6.8,2367,51125,59885,6702,2311,34.5,4391,65.5,708,10.6,3583,53.5,22,0.3,0,0,0,0,24,0.4,54,0.8,14.4,14.4
165,Little Rock West High School Of Innovation,12-Sep,Little Rock School District,0.09,0.209,0.194,0.075,0.015,270,0.6333,0.3222,0.0852,0.5556,0.04,0.68,3,76,67,0.881578947,15.5,14.6,16.2,15.6,0,PULASKI,6001081,6001000,Arkansas,34.8074017,-92.4591332,5619 Ranch Drive,72223,Pulaski County,Little Rock,5119,"5619 Ranch Drive, Little Rock, Arkansas, 72223",4205,5119004205,2023,4205,Pulaski County,Arkansas,335,13,61,98,163,3121,10,195,390,619,128,1052,727,3.9,18.2,29.3,48.7,0.3,6.2,12.5,19.8,4.1,33.7,23.3,2231,68446,93930,4868,302,6.2,4566,93.8,2808,57.7,849,17.4,0,0,604,12.4,0,0,0,0,305,6.3,15.5,16.2
166,Lonoke High School,12-Sep,Lonoke School District,0.052,0.281,0.219,0.135,0.01,493,0.5923,0.5923,0.1034,0.2698,0.03,0.41,3,130,96,0.738461538,16.1,15.6,17.1,17.8,0,LONOKE,4301029,4301000,Arkansas,34.7805718,-91.9043295,405 West Academy Street,72086,Lonoke County,Lonoke,5085,"405 West Academy Street, Lonoke, Arkansas, 72086",20500,5085020500,2023,20500,Lonoke County,Arkansas,407,54,172,56,125,3307,223,251,1499,538,371,255,170,13.3,42.3,13.8,30.7,6.7,7.6,45.3,16.3,11.2,7.7,5.1,2116,51078,80156,5064,274,5.4,4790,94.6,3918,77.4,773,15.3,0,0,7,0.1,0,0,0,0,92,1.8,16.1,17.1
167,Magazine High School,12-Jul,Magazine School District,0.25,0.406,0.375,0.344,0.188,203,0.7044,0.931,0.0197,0.0049,0.04,0.07,1,36,32,0.888888889,18.3,17.4,19.9,19,0,LOGAN,4202008,4202000,Arkansas,35.1494143,-93.8021863,292 East Priddy Street,72943,Logan County,Magazine,5083,"292 East Priddy Street, Magazine, Arkansas, 72943",950600,5083950600,2023,950600,Logan County,Arkansas,89,20,32,37,0,2142,39,190,987,447,229,197,53,22.5,36,41.6,0,1.8,8.9,46.1,20.9,10.7,9.2,2.5,1037,63750,88038,2816,206,7.3,2610,92.7,2246,79.8,48,1.7,19,0.7,0,0,0,0,0,0,297,10.5,18.3,19.9
168,Magnet Cove High School,12-Jul,Magnet Cove School District,0.226,0.645,0.355,0.323,0.129,311,0.4695,0.9164,0.0129,0.0129,0.06,0.08,3,40,31,0.775,18.8,19.2,19.9,20.7,0,HOT SPRING,3003014,3003000,Arkansas,34.4452518,-92.8357306,472 Magnet School Road,72104,Hot Spring County,Malvern,5059,"472 Magnet School Road, Malvern, Arkansas, 72104",20101,5059020101,2023,20101,Hot Spring County,Arkansas,336,32,135,164,5,2316,51,77,899,498,195,400,196,9.5,40.2,48.8,1.5,2.2,3.3,38.8,21.5,8.4,17.3,8.5,1362,56786,66284,3235,226,7,3009,93,2902,89.7,12,0.4,0,0,0,0,0,0,0,0,95,2.9,18.8,19.9
169,Magnolia High School,12-Sep,Magnolia School District,0.116,0.312,0.214,0.168,0.087,807,0.71,0.3482,0.0657,0.5415,0.04,0.65,4,201,173,0.860696517,16.8,15.7,17.5,17.9,0,COLUMBIA,1402009,1402000,Arkansas,33.2793107,-93.222648,1400 High School Drive,71753,Columbia County,Magnolia,5027,"1400 High School Drive, Magnolia, Arkansas, 71753",950401,5027950401,2023,950401,Columbia County,Arkansas,1884,0,249,1508,127,1698,11,80,462,420,168,358,199,0,13.2,80,6.7,0.6,4.7,27.2,24.7,9.9,21.1,11.7,1059,68620,79142,4330,447,10.3,3883,89.7,2648,61.2,998,23,23,0.5,26,0.6,0,0,13,0.3,175,4,16.8,17.5
170,Malvern High School,12-Sep,Malvern School District,0.167,0.421,0.202,0.184,0.096,575,0.7374,0.4539,0.1217,0.3183,0.11,0.55,3,150,114,0.76,17.3,17.1,17.3,18.3,0,HOT SPRING,3004023,3004000,Arkansas,34.3556676,-92.8050971,525 East Highland Avenue,72104,Hot Spring County,Malvern,5059,"525 East Highland Avenue, Malvern, Arkansas, 72104",20400,5059020400,2023,20400,Hot Spring County,Arkansas,466,84,194,135,53,3960,64,313,1855,735,365,438,190,18,41.6,29,11.4,1.6,7.9,46.8,18.6,9.2,11.1,4.8,2263,50260,57603,5759,59,1,5700,99,4223,73.3,1165,20.2,17,0.3,0,0,0,0,0,0,295,5.1,17.3,17.3
171,Mammoth Spring High School,12-Jul,Mammoth Spring School District,0.095,0.429,0.381,0.143,0.048,220,0.7227,0.9636,0.0136,0,0.02,0.04,2,41,21,0.512195122,16.9,16.6,19.1,16.7,0,FULTON,2501002,2501000,Arkansas,36.490791,-91.5418359,410 Goldsmith Avenue,72554,Fulton County,Mammoth Spring,5049,"410 Goldsmith Avenue, Mammoth Spring, Arkansas, 72554",550102,5049550102,2023,550102,Fulton County,Arkansas,114,44,24,37,9,1673,21,175,658,444,141,174,60,38.6,21.1,32.5,7.9,1.3,10.5,39.3,26.5,8.4,10.4,3.6,868,40375,55144,2189,10,0.5,2179,99.5,2032,92.8,0,0,0,0,0,0,0,0,0,0,147,6.7,16.9,19.1
172,Manila High School,12-Jul,Manila School District,0.086,0.286,0.286,0.1,0.043,493,0.5213,0.9655,0.0264,0.0041,0,0.03,2,81,70,0.864197531,16.4,15.6,16.8,17.1,0,MISSISSIPPI,4712044,4712000,Arkansas,35.8792135,-90.1569828,419 Olympia Avenue,72442,Mississippi County,Manila,5093,"419 Olympia Avenue, Manila, Arkansas, 72442",10802,5093010802,2023,10802,Mississippi County,Arkansas,241,7,214,20,0,2261,60,192,988,292,489,192,48,2.9,88.8,8.3,0,2.7,8.5,43.7,12.9,21.6,8.5,2.1,1093,65103,109774,3566,0,0,3566,100,3448,96.7,17,0.5,0,0,0,0,0,0,0,0,101,2.8,16.4,16.8
173,Mansfield High School,12-Sep,Mansfield School District,0.048,0.429,0.19,0.119,0.048,225,0.7022,0.8444,0.04,0.0178,0.1,0.16,1,58,42,0.724137931,16,17,18.1,18.1,0,SEBASTIAN,6606062,6606000,Arkansas,35.0679629,-94.222523,2500 U.S. 71,72944,Scott County,Mansfield,5127,"2500 U.S. 71, Mansfield, Arkansas, 72944",950100,5127950100,2023,950100,Scott County,Arkansas,166,9,83,61,13,2843,125,239,1346,698,214,170,51,5.4,50,36.7,7.8,4.4,8.4,47.3,24.6,7.5,6,1.8,1557,48150,62936,3853,20,0.5,3833,99.5,3450,89.5,0,0,11,0.3,78,2,0,0,0,0,294,7.6,16,18.1
174,Marion High School,12-Oct,Marion School District,0.069,0.314,0.159,0.076,0.029,904,0.8075,0.3241,0.0586,0.573,0.04,0.68,2,310,277,0.893548387,15.6,15.1,16.6,16.4,0,CRITTENDEN,1804015,1804000,Arkansas,35.1951097,-90.1965686,1 Patriot Drive,72364,Crittenden County,Marion,5035,"1 Patriot Drive, Marion, Arkansas, 72364",30804,5035030804,2023,30804,Crittenden County,Arkansas,335,46,88,168,33,2736,104,98,1007,761,264,141,361,13.7,26.3,50.1,9.9,3.8,3.6,36.8,27.8,9.6,5.2,13.2,1749,76633,80440,4469,292,6.5,4177,93.5,1607,36,2145,48,0,0,67,1.5,0,0,0,0,358,8,15.6,16.6
175,Marked Tree High School,12-Jul,Marked Tree School District,0.063,0.156,0.219,0.063,RV,220,0.7045,0.5682,0.0455,0.3818,0,0.43,2,39,32,0.820512821,15.3,13.8,16.2,15.8,0,POINSETT,5604017,5604000,Arkansas,35.5276217,-90.4209489,406 Saint Francis Street,72365,Poinsett County,Marked Tree,5111,"406 Saint Francis Street, Marked Tree, Arkansas, 72365",490700,5111490700,2023,490700,Poinsett County,Arkansas,113,54,31,14,14,1552,96,223,594,338,58,176,67,47.8,27.4,12.4,12.4,6.2,14.4,38.3,21.8,3.7,11.3,4.3,848,45263,50827,2124,147,6.9,1977,93.1,1505,70.9,270,12.7,104,4.9,2,0.1,0,0,6,0.3,90,4.2,15.3,16.2
176,Marmaduke High School,12-Jul,Marmaduke School District,0.121,0.576,0.394,0.242,0.091,281,0.548,0.9644,0.0214,0,0.01,0.04,2,43,33,0.76744186,17.5,17.3,19.5,19.2,0,GREENE,2803017,2803000,Arkansas,36.1930301,-90.3937388,1010 Greyhound Drive,72443,Greene County,Marmaduke,5055,"1010 Greyhound Drive, Marmaduke, Arkansas, 72443",480100,5055480100,2023,480100,Greene County,Arkansas,193,16,130,29,18,2017,136,271,897,221,154,273,65,8.3,67.4,15,9.3,6.7,13.4,44.5,11,7.6,13.5,3.2,1204,51967,60571,2985,41,1.4,2944,98.6,2607,87.3,0,0,0,0,0,0,0,0,277,9.3,60,2,17.5,19.5
177,Marshall High School,12-Jul,Searcy County School District,0.216,0.549,0.333,0.275,0.098,361,0.6953,0.9114,0.0443,0.0055,0.04,0.09,1,57,51,0.894736842,18.4,19.3,19.1,19.2,0,SEARCY,6502006,6502000,Arkansas,35.9091004,-92.6590391,950 U.S. 65,72650,Searcy County,Marshall,5129,"950 U.S. 65, Marshall, Arkansas, 72650",970200,5129970200,2023,970200,Searcy County,Arkansas,241,5,188,44,4,2620,351,272,1019,533,159,195,91,2.1,78,18.3,1.7,13.4,10.4,38.9,20.3,6.1,7.4,3.5,1405,31670,48707,3587,82,2.3,3505,97.7,3028,84.4,6,0.2,22,0.6,0,0,0,0,0,0,449,12.5,18.4,19.1
178,Marvell-Elaine High School,12-Jul,Marvell-Elaine School District,RV,0.063,0.063,0.063,RV,100,0.96,0.09,0.06,0.83,0.02,0.91,5,17,16,0.941176471,14.8,12.9,13.9,15.8,0,PHILLIPS,5404032,5404000,Arkansas,34.5492072,-90.9438468,,N/A,Phillips County,N/A,5107,,480202,5107480202,2023,480202,Phillips County,Arkansas,151,7,48,96,0,1338,29,124,480,314,129,187,75,4.6,31.8,63.6,0,2.2,9.3,35.9,23.5,9.6,14,5.6,681,66250,81204,1974,24,1.2,1950,98.8,1225,62.1,607,30.7,3,0.2,0,0,0,0,0,0,115,5.8,14.8,13.9
