School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Serena High School,Serena CUSD 2,499.8,462.3,48,48,Illinois,41.4879953,-88.7310255,2283 North 3812nd Road,60549,LaSalle County,Serena,17099,"2283 North 3812nd Road, Serena, Illinois, 60549",962300,17099962300,2019,962300,LaSalle County,Illinois,731,358,99,244,30,5416,83,885,1858,1305,497,492,296,49,13.5,33.4,4.1,1.5,16.3,34.3,24.1,9.2,9.1,5.5,2296,75091,91660,7234,576,8,6658,92,5329,73.7,1184,16.4,0,0,23,0.3,0,0,0,0,122,1.7
Bremen High School,Bremen CHSD 228,445.4,442.4,373,373,Illinois,41.6155258,-87.7155899,15203 Pulaski Road,60445,Cook County,Midlothian,17031,"15203 Pulaski Road, Midlothian, Illinois, 60445",824702,17031824702,2019,824702,Cook County,Illinois,353,13,77,232,31,4132,397,263,1540,809,464,422,237,3.7,21.8,65.7,8.8,9.6,6.4,37.3,19.6,11.2,10.2,5.7,2350,52345,69978,5653,1947,34.4,3706,65.6,2979,52.7,426,7.5,0,0,0,0,0,0,0,0,301,5.3
Bement High School,Bement CUSD 5,448.6,425.2,21,21,Illinois,39.9215545,-88.5689468,201 South Champaign Street,61813,Piatt County,Bement,17147,"201 South Champaign Street, Bement, Illinois, 61813",954700,17147954700,2019,954700,Piatt County,Illinois,201,30,121,43,7,2218,28,158,983,528,229,193,99,14.9,60.2,21.4,3.5,1.3,7.1,44.3,23.8,10.3,8.7,4.5,1294,52357,69574,3042,15,0.5,3027,99.5,2954,97.1,43,1.4,1,0,0,0,0,0,0,0,29,1
Watseka Comm High School,Iroquois County CUSD 9,482,484.7,59,59,Illinois,40.794662,-87.7172616,,N/A,Iroquois County,N/A,17075,,950400,17075950400,2019,950400,Iroquois County,Illinois,471,22,260,152,37,2499,96,343,1234,429,251,82,64,4.7,55.2,32.3,7.9,3.8,13.7,49.4,17.2,10,3.3,2.6,1761,35208,46261,3551,152,4.3,3399,95.7,3251,91.6,19,0.5,0,0,44,1.2,0,0,45,1.3,40,1.1
Columbia High School,Columbia CUSD 4,515.4,547.4,162,162,Illinois,38.446838,-90.216113,77 Veterans Parkway,62236,Monroe County,Columbia,17133,"77 Veterans Parkway, Columbia, Illinois, 62236",600103,17133600103,2019,600103,Monroe County,Illinois,80,32,0,48,0,2373,0,76,516,684,207,594,296,40,0,60,0,0,3.2,21.7,28.8,8.7,25,12.5,1482,75924,111838,3335,0,0,3335,100,3271,98.1,0,0,0,0,18,0.5,0,0,18,0.5,28,0.8
Civic Memorial High School,Bethalto CUSD 8,465.9,452,178,178,Illinois,38.9094921,-90.0632053,200 School Street,62010,Madison County,Bethalto,17119,"200 School Street, Bethalto, Illinois, 62010",401721,17119401721,2019,401721,Madison County,Illinois,178,0,125,53,0,3967,50,107,1669,804,397,713,227,0,70.2,29.8,0,1.3,2.7,42.1,20.3,10,18,5.7,2168,70469,81355,5630,17,0.3,5613,99.7,5469,97.1,0,0,0,0,44,0.8,0,0,0,0,100,1.8
GCMS High School,Gibson City-Melvin-Sibley CUSD 5,516.6,522.9,77,77,Illinois,40.4747702,-88.3744647,815 North Church Street,60936,Ford County,Gibson City,17053,"815 North Church Street, Gibson City, Illinois, 60936",962000,17053962000,2019,962000,Ford County,Illinois,215,16,53,88,58,2469,74,224,870,559,221,312,209,7.4,24.7,40.9,27,3,9.1,35.2,22.6,9,12.6,8.5,1643,43970,60328,3423,61,1.8,3362,98.2,3276,95.7,35,1,13,0.4,0,0,0,0,0,0,38,1.1
Central High School,Champaign CUSD 4,501.9,498.5,297,297,Illinois,40.1166359,-88.2535712,610 West University Avenue,61820,Champaign County,Champaign,17019,"610 West University Avenue, Champaign, Illinois, 61820",11001,17019011001,2019,11001,Champaign County,Illinois,217,32,8,88,89,1771,0,0,163,426,124,565,493,14.7,3.7,40.6,41,0,0,9.2,24.1,7,31.9,27.8,1380,38990,56621,2221,72,3.2,2149,96.8,1712,77.1,346,15.6,32,1.4,30,1.4,0,0,0,0,29,1.3
Pana Sr High School,Pana CUSD 8,491.5,470.9,89,89,Illinois,39.3588992,-89.1324866,,N/A,Christian County,N/A,17021,,958700,17021958700,2019,958700,Christian County,Illinois,467,68,95,301,3,3388,140,470,1128,794,278,397,181,14.6,20.3,64.5,0.6,4.1,13.9,33.3,23.4,8.2,11.7,5.3,1409,52460,67476,4443,231,5.2,4212,94.8,3943,88.7,213,4.8,8,0.2,13,0.3,1,0,0,0,34,0.8
Hamilton County Jr/Sr High School,Hamilton Co CUSD 10,477.7,453.7,95,95,Illinois,38.0947175,-88.5493496,1 Fox Lane,62859,Hamilton County,McLeansboro,17065,"1 Fox Lane, McLeansboro, Illinois, 62859",973100,17065973100,2019,973100,Hamilton County,Illinois,243,21,65,157,0,1989,60,158,651,526,109,282,203,8.6,26.7,64.6,0,3,7.9,32.7,26.4,5.5,14.2,10.2,1196,54653,60659,2738,56,2,2682,98,2572,93.9,26,0.9,0,0,0,0,30,1.1,0,0,54,2
Maroa-Forsyth Senior High Sch,Maroa Forsyth CUSD 2,520.8,506,95,95,Illinois,40.035226,-88.9625179,610 West Washington Street Road,61756,Macon County,Maroa,17115,"610 West Washington Street Road, Maroa, Illinois, 61756",3000,17115003000,2019,3000,Macon County,Illinois,264,38,120,92,14,2347,30,134,707,649,233,386,208,14.4,45.5,34.8,5.3,1.3,5.7,30.1,27.7,9.9,16.4,8.9,1342,66714,80044,3677,187,5.1,3490,94.9,2998,81.5,87,2.4,6,0.2,105,2.9,0,0,10,0.3,284,7.7
Jersey Comm High School,Jersey CUSD 100,489.5,487.2,217,217,Illinois,39.1258361,-90.328536,801 North State Street,62052,Jersey County,Jerseyville,17083,"801 North State Street, Jerseyville, Illinois, 62052",10100,17083010100,2019,10100,Jersey County,Illinois,411,18,210,84,99,3733,136,240,1201,612,657,551,336,4.4,51.1,20.4,24.1,3.6,6.4,32.2,16.4,17.6,14.8,9,1863,65060,80112,5221,108,2.1,5113,97.9,4885,93.6,12,0.2,0,0,21,0.4,0,0,0,0,195,3.7
Julian High School,City of Chicago SD 299,388.7,376.1,122,122,Illinois,41.7060512,-87.6543566,10330 South Elizabeth Street,60643,Cook County,Chicago,17031,"10330 South Elizabeth Street, Chicago, Illinois, 60643",730700,17031730700,2019,730700,Cook County,Illinois,153,23,10,95,25,1584,79,152,439,471,116,216,111,15,6.5,62.1,16.3,5,9.6,27.7,29.7,7.3,13.6,7,742,53263,63598,2394,16,0.7,2378,99.3,23,1,2285,95.4,0,0,0,0,0,0,0,0,70,2.9
Phillips Academy High School,City of Chicago SD 299,398.5,393.4,209,209,Illinois,41.8244255,-87.6198195,244 East Pershing Road,60653,Cook County,Chicago,17031,"244 East Pershing Road, Chicago, Illinois, 60653",839600,17031839600,2019,839600,Cook County,Illinois,240,0,117,101,22,1255,55,205,212,395,10,253,125,0,48.8,42.1,9.2,4.4,16.3,16.9,31.5,0.8,20.2,10,890,51359,60119,1688,150,8.9,1538,91.1,80,4.7,1439,85.2,0,0,0,0,0,0,11,0.7,8,0.5
Simeon Career Academy High School,City of Chicago SD 299,417.8,405.1,268,268,Illinois,41.7455617,-87.634833,8147 South Vincennes Avenue,60620,Cook County,Chicago,17031,"8147 South Vincennes Avenue, Chicago, Illinois, 60620",842400,17031842400,2019,842400,Cook County,Illinois,215,37,89,89,0,2230,32,252,456,588,150,615,137,17.2,41.4,41.4,0,1.4,11.3,20.4,26.4,6.7,27.6,6.1,1404,53715,61198,3098,9,0.3,3089,99.7,22,0.7,2968,95.8,0,0,62,2,0,0,0,0,37,1.2
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,517.3,462.7,11,11,Illinois,39.8314704,-90.5543899,830 Main Street,62665,Morgan County,Meredosia,17137,"830 Main Street, Meredosia, Illinois, 62665",951400,17137951400,2019,951400,Morgan County,Illinois,179,36,87,56,0,1822,46,135,852,363,157,211,58,20.1,48.6,31.3,0,2.5,7.4,46.8,19.9,8.6,11.6,3.2,1063,50461,59629,2527,46,1.8,2481,98.2,2481,98.2,0,0,0,0,0,0,0,0,0,0,0,0
Du Quoin High School,Du Quoin CUSD 300,479,467.9,100,100,Illinois,38.0066816,-89.2315656,500 East South Street,62832,Perry County,Du Quoin,17145,"500 East South Street, Du Quoin, Illinois, 62832",30600,17145030600,2019,30600,Perry County,Illinois,320,28,118,174,0,2497,95,197,898,698,242,244,123,8.8,36.9,54.4,0,3.8,7.9,36,28,9.7,9.8,4.9,1812,40927,51422,3793,151,4,3642,96,3449,90.9,88,2.3,0,0,32,0.8,0,0,0,0,73,1.9
Goode STEM Academy HS,City of Chicago SD 299,429.8,436.6,220,220,Illinois,41.7539265,-87.7064547,7651 South Homan Avenue,60652,Cook County,Chicago,17031,"7651 South Homan Avenue, Chicago, Illinois, 60652",700100,17031700100,2019,700100,Cook County,Illinois,469,42,139,288,0,2265,276,233,588,647,189,157,175,9,29.6,61.4,0,12.2,10.3,26,28.6,8.3,6.9,7.7,1032,69839,82904,3769,1362,36.1,2407,63.9,27,0.7,2307,61.2,0,0,7,0.2,0,0,0,0,66,1.8
Warrensburg-Latham High School,Warrensburg-Latham CUSD 11,498.7,443.4,76,76,Illinois,39.9317752,-89.0688356,430 North Street,62573,Macon County,Warrensburg,17115,"430 North Street, Warrensburg, Illinois, 62573",2800,17115002800,2019,2800,Macon County,Illinois,355,52,106,174,23,2789,76,100,1009,685,280,433,206,14.6,29.9,49,6.5,2.7,3.6,36.2,24.6,10,15.5,7.4,1649,63006,74312,4161,147,3.5,4014,96.5,3868,93,8,0.2,1,0,9,0.2,0,0,2,0,126,3
Perspectives Chtr - High School of Technology,City of Chicago SD 299,421.7,399.8,65,65,Illinois,41.8608315,-87.6274658,1530 South State Street,60605,Cook County,Chicago,17031,"1530 South State Street, Chicago, Illinois, 60605",330200,17031330200,2019,330200,Cook County,Illinois,89,50,27,0,12,2808,109,7,328,264,32,912,1156,56.2,30.3,0,13.5,3.9,0.2,11.7,9.4,1.1,32.5,41.2,1815,118516,157455,3904,209,5.4,3695,94.6,1949,49.9,787,20.2,0,0,795,20.4,0,0,0,0,164,4.2
Greenview Jr/Sr High School,Greenview CUSD 200,457.1,455.7,,,Illinois,40.0834725,-89.7192132,,N/A,Menard County,N/A,17129,,10100,17129010100,2019,10100,Menard County,Illinois,354,26,148,146,34,4033,55,70,1429,1019,575,541,344,7.3,41.8,41.2,9.6,1.4,1.7,35.4,25.3,14.3,13.4,8.5,2431,86463,92791,5952,109,1.8,5843,98.2,5630,94.6,62,1,16,0.3,20,0.3,0,0,7,0.1,108,1.8
Bloom Trail High School,Bloom Twp HSD 206,439,415.9,269,269,Illinois,41.4847473,-87.5953393,22331 Cottage Grove Avenue,60411,Cook County,Sauk Village,17031,"22331 Cottage Grove Avenue, Sauk Village, Illinois, 60411",829700,17031829700,2019,829700,Cook County,Illinois,250,20,96,117,17,2846,28,140,1237,863,203,207,168,8,38.4,46.8,6.8,1,4.9,43.5,30.3,7.1,7.3,5.9,1405,42064,64528,4131,328,7.9,3803,92.1,806,19.5,2819,68.2,0,0,35,0.8,0,0,0,0,143,3.5
Crystal Lake Central High School,CHSD 155,509.1,514.1,364,364,Illinois,42.2371245,-88.3225418,45 West Franklin Street,60014,McHenry County,Crystal Lake,17111,"45 West Franklin Street, Crystal Lake, Illinois, 60014",871301,17111871301,2019,871301,McHenry County,Illinois,377,0,88,263,26,3022,75,135,473,622,344,804,569,0,23.3,69.8,6.9,2.5,4.5,15.7,20.6,11.4,26.6,18.8,1796,87917,103379,4623,585,12.7,4038,87.3,3954,85.5,0,0,0,0,43,0.9,0,0,0,0,41,0.9
Streator Twp High School,Streator Twp HSD 40,460.7,451.5,188,188,Illinois,41.1266441,-88.8373184,202 West Lincoln Avenue,61364,LaSalle County,Streator,17099,"202 West Lincoln Avenue, Streator, Illinois, 61364",963900,17099963900,2019,963900,LaSalle County,Illinois,403,1,260,137,5,3452,75,454,968,1086,253,406,210,0.2,64.5,34,1.2,2.2,13.2,28,31.5,7.3,11.8,6.1,2466,36667,53149,4931,247,5,4684,95,4226,85.7,206,4.2,0,0,205,4.2,0,0,0,0,47,1
Southwestern High School,Southwestern CUSD 9,489.9,477.9,117,117,Illinois,39.1194911,-90.140376,8226 Illinois 111,62079,Macoupin County,Piasa,17117,"8226 Illinois 111, Piasa, Illinois, 62079",956600,17117956600,2019,956600,Macoupin County,Illinois,256,34,64,146,12,3296,67,141,1300,713,493,418,164,13.3,25,57,4.7,2,4.3,39.4,21.6,15,12.7,5,1817,67567,81819,4669,42,0.9,4627,99.1,4566,97.8,12,0.3,17,0.4,0,0,0,0,0,0,32,0.7
Glenbard West High School,Glenbard Twp HSD 87,544.6,548.2,551,551,Illinois,41.8794783,-88.0606255,670 Crescent Boulevard,60137,DuPage County,Glen Ellyn,17043,"670 Crescent Boulevard, Glen Ellyn, Illinois, 60137",842000,17043842000,2019,842000,DuPage County,Illinois,221,38,161,11,11,2694,0,6,132,250,100,1344,862,17.2,72.9,5,5,0,0.2,4.9,9.3,3.7,49.9,32,1467,156479,235856,4084,223,5.5,3861,94.5,3631,88.9,29,0.7,0,0,73,1.8,0,0,35,0.9,93,2.3
Guilford High School,Rockford SD 205,462.8,445.7,471,471,Illinois,42.2980626,-89.0069754,5620 Spring Creek Road,61114,Winnebago County,Rockford,17201,"5620 Spring Creek Road, Rockford, Illinois, 61114",516,17201000516,2019,516,Winnebago County,Illinois,219,28,24,158,9,2853,74,51,558,577,214,653,726,12.8,11,72.1,4.1,2.6,1.8,19.6,20.2,7.5,22.9,25.4,1519,94984,103185,3704,571,15.4,3133,84.6,2741,74,392,10.6,0,0,0,0,0,0,0,0,0,0
Crab Orchard High School,Crab Orchard CUSD 3,460.3,436.4,33,33,Illinois,37.7261901,-88.805973,19189 Bailey Street,62959,Williamson County,Marion,17199,"19189 Bailey Street, Marion, Illinois, 62959",20802,17199020802,2019,20802,Williamson County,Illinois,266,57,58,143,8,2754,57,249,1019,740,349,195,145,21.4,21.8,53.8,3,2.1,9,37,26.9,12.7,7.1,5.3,1498,59856,74220,3919,68,1.7,3851,98.3,3750,95.7,0,0,5,0.1,7,0.2,0,0,0,0,89,2.3
Young Womens Leadership Chartr HS,City of Chicago SD 299,418.9,419.6,28,28,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2019,310600,Cook County,Illinois,519,0,139,277,103,3541,365,275,700,290,88,1159,664,0,26.8,53.4,19.8,10.3,7.8,19.8,8.2,2.5,32.7,18.8,2116,66074,77026,4780,2605,54.5,2175,45.5,1653,34.6,211,4.4,0,0,311,6.5,0,0,0,0,0,0
Deland-Weldon High School,Deland-Weldon CUSD 57,492.1,450.5,19,19,Illinois,40.1282691,-88.6867599,304 Illinois 10,61839,Piatt County,De Land,17147,"304 Illinois 10, De Land, Illinois, 61839",954500,17147954500,2019,954500,Piatt County,Illinois,399,53,178,149,19,3086,25,166,896,625,341,665,368,13.3,44.6,37.3,4.8,0.8,5.4,29,20.3,11,21.5,11.9,1746,82850,102222,4310,80,1.9,4230,98.1,4168,96.7,34,0.8,0,0,1,0,0,0,0,0,27,0.6
Waukegan High School,Waukegan CUSD 60,430.2,424.2,1045,1045,Illinois,42.3638185,-87.8629161,2325 Brookside Avenue,60085,Lake County,Waukegan,17097,"2325 Brookside Avenue, Waukegan, Illinois, 60085",862603,17097862603,2019,862603,Lake County,Illinois,918,232,373,313,0,4613,581,631,1601,829,299,429,243,25.3,40.6,34.1,0,12.6,13.7,34.7,18,6.5,9.3,5.3,2587,48276,55945,7166,4636,64.7,2530,35.3,558,7.8,1495,20.9,0,0,400,5.6,0,0,0,0,77,1.1
Brimfield High School,Brimfield CUSD 309,525.2,531.9,54,54,Illinois,40.8421661,-89.8810119,323 East Clinton Street,61517,Peoria County,Brimfield,17143,"323 East Clinton Street, Brimfield, Illinois, 61517",3900,17143003900,2019,3900,Peoria County,Illinois,345,62,81,179,23,4655,120,159,567,860,494,1215,1240,18,23.5,51.9,6.7,2.6,3.4,12.2,18.5,10.6,26.1,26.6,2457,121250,163095,7606,212,2.8,7394,97.2,5771,75.9,191,2.5,34,0.4,1215,16,2,0,0,0,181,2.4
Multicultural Acad of Scholarshp HS,City of Chicago SD 299,407.8,402.7,45,45,Illinois,41.9710983,-87.7094963,4929 North Sawyer Avenue,60625,Cook County,Chicago,17031,"4929 North Sawyer Avenue, Chicago, Illinois, 60625",140200,17031140200,2019,140200,Cook County,Illinois,1329,40,169,1053,67,4085,418,389,1040,422,225,1125,466,3,12.7,79.2,5,10.2,9.5,25.5,10.3,5.5,27.5,11.4,1906,65202,80763,6634,3024,45.6,3610,54.4,2130,32.1,383,5.8,0,0,1040,15.7,0,0,0,0,57,0.9
Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,503.5,498.8,17,17,Illinois,39.3019645,-88.6181679,2806 600 North,62465,Shelby County,Strasburg,17173,"2806 600 North, Strasburg, Illinois, 62465",959500,17173959500,2019,959500,Shelby County,Illinois,215,12,47,142,14,2834,24,93,1232,556,402,402,125,5.6,21.9,66,6.5,0.8,3.3,43.5,19.6,14.2,14.2,4.4,1590,66078,75396,3884,72,1.9,3812,98.1,3804,97.9,0,0,0,0,8,0.2,0,0,0,0,0,0
Indian Creek High School,Indian Creek CUSD 425,485.4,489.6,52,52,Illinois,41.763283,-88.8758973,506 South Shabbona Road,60550,DeKalb County,Shabbona,17037,"506 South Shabbona Road, Shabbona, Illinois, 60550",1800,17037001800,2019,1800,DeKalb County,Illinois,425,42,129,215,39,2804,114,117,853,788,256,453,223,9.9,30.4,50.6,9.2,4.1,4.2,30.4,28.1,9.1,16.2,8,1538,76894,84804,4231,298,7,3933,93,3713,87.8,52,1.2,9,0.2,6,0.1,0,0,0,0,153,3.6
Sullivan High School,City of Chicago SD 299,400.6,420.8,181,181,Illinois,42.0028084,-87.6689166,6631 North Bosworth Avenue,60626,Cook County,Chicago,17031,"6631 North Bosworth Avenue, Chicago, Illinois, 60626",830600,17031830600,2019,830600,Cook County,Illinois,363,42,53,175,93,3458,221,261,776,523,187,943,547,11.6,14.6,48.2,25.6,6.4,7.5,22.4,15.1,5.4,27.3,15.8,2072,53177,74801,4923,1551,31.5,3372,68.5,1698,34.5,1030,20.9,12,0.2,340,6.9,0,0,98,2,194,3.9
North Lawndale Prep Chtr-Collins,City of Chicago SD 299,415.3,398.6,78,78,Illinois,41.8584921,-87.7088287,1615 South Christiana Avenue,60623,Cook County,Chicago,17031,"1615 South Christiana Avenue, Chicago, Illinois, 60623",841500,17031841500,2019,841500,Cook County,Illinois,274,68,89,117,0,1388,57,174,492,299,122,178,66,24.8,32.5,42.7,0,4.1,12.5,35.4,21.5,8.8,12.8,4.8,796,30691,40630,2369,74,3.1,2295,96.9,30,1.3,2254,95.1,0,0,11,0.5,0,0,0,0,0,0
Charleston High School,Charleston CUSD 1,500.2,488.1,191,191,Illinois,39.485302,-88.1645073,1615 Lincoln Avenue,61920,Coles County,Charleston,17029,"1615 Lincoln Avenue, Charleston, Illinois, 61920",701,17029000701,2019,701,Coles County,Illinois,877,9,284,463,121,1935,42,42,235,403,190,471,552,1,32.4,52.8,13.8,2.2,2.2,12.1,20.8,9.8,24.3,28.5,1361,68405,73607,3200,178,5.6,3022,94.4,2642,82.6,137,4.3,10,0.3,201,6.3,0,0,0,0,32,1
Chicago Technology Academy HS,City of Chicago SD 299,414.9,393.4,47,47,Illinois,41.863195,-87.659268,1301 West 14th Street,60608,Cook County,Chicago,17031,"1301 West 14th Street, Chicago, Illinois, 60608",842900,17031842900,2019,842900,Cook County,Illinois,154,0,22,107,25,1845,62,348,398,429,14,501,93,0,14.3,69.5,16.2,3.4,18.9,21.6,23.3,0.8,27.2,5,1316,20089,55819,2711,173,6.4,2538,93.6,333,12.3,1693,62.4,0,0,335,12.4,0,0,80,3,97,3.6
Cambridge Lakes Charter School,CUSD 300,483.3,445.8,12,12,Illinois,42.082168,-88.429467,840 Campus Drive,60140,Kane County,Pingree Grove,17089,"840 Campus Drive, Pingree Grove, Illinois, 60140",850710,17089850710,2019,850710,Kane County,Illinois,199,0,93,93,13,4145,21,54,455,1046,466,1751,352,0,46.7,46.7,6.5,0.5,1.3,11,25.2,11.2,42.2,8.5,2008,98204,125013,6549,1177,18,5372,82,4202,64.2,201,3.1,0,0,848,12.9,0,0,0,0,121,1.8
Tri-Valley High School,Tri Valley CUSD 3,530.7,545.4,76,76,Illinois,40.3944514,-88.8669409,503 East Washington Street,61736,McLean County,Downs,17113,"503 East Washington Street, Downs, Illinois, 61736",5401,17113005401,2019,5401,McLean County,Illinois,274,47,46,159,22,3953,38,73,726,594,291,1620,611,17.2,16.8,58,8,1,1.8,18.4,15,7.4,41,15.5,2096,116696,138140,6212,74,1.2,6138,98.8,5612,90.3,114,1.8,0,0,303,4.9,0,0,0,0,109,1.8
Noble St Chtr-Noble Campus,City of Chicago SD 299,502.2,539.8,169,169,Illinois,41.8997931,-87.6624966,North Noble Street,60642,Cook County,Chicago,17031,"North Noble Street, Chicago, Illinois, 60642",842300,17031842300,2019,842300,Cook County,Illinois,89,0,59,10,20,2770,35,20,182,330,156,1380,667,0,66.3,11.2,22.5,1.3,0.7,6.6,11.9,5.6,49.8,24.1,1487,147056,159528,3123,293,9.4,2830,90.6,2131,68.2,449,14.4,0,0,209,6.7,0,0,0,0,41,1.3
Kaneland Senior High School,Kaneland CUSD 302,514,519.9,332,332,Illinois,41.8817021,-88.5319844,47w326 Keslinger Road,60151,Kane County,Maple Park,17089,"47w326 Keslinger Road, Maple Park, Illinois, 60151",852403,17089852403,2019,852403,Kane County,Illinois,345,28,123,174,20,3877,14,128,1243,1042,387,707,356,8.1,35.7,50.4,5.8,0.4,3.3,32.1,26.9,10,18.2,9.2,1946,93935,110210,5335,112,2.1,5223,97.9,5031,94.3,71,1.3,5,0.1,14,0.3,0,0,0,0,102,1.9
Chicago Military Academy HS,City of Chicago SD 299,448.8,425.5,86,86,Illinois,41.8303817,-87.6191728,3519 South Giles Avenue,60653,Cook County,Chicago,17031,"3519 South Giles Avenue, Chicago, Illinois, 60653",839600,17031839600,2019,839600,Cook County,Illinois,240,0,117,101,22,1255,55,205,212,395,10,253,125,0,48.8,42.1,9.2,4.4,16.3,16.9,31.5,0.8,20.2,10,890,51359,60119,1688,150,8.9,1538,91.1,80,4.7,1439,85.2,0,0,0,0,0,0,11,0.7,8,0.5
Ashton-Franklin Center HS,Ashton-Franklin Center CUSD 275,482.3,467.2,43,43,Illinois,41.8658359,-89.2294711,611 Western Avenue,61006,Lee County,Ashton,17103,"611 Western Avenue, Ashton, Illinois, 61006",100,17103000100,2019,100,Lee County,Illinois,208,42,86,74,6,1960,44,116,773,508,182,235,102,20.2,41.3,35.6,2.9,2.2,5.9,39.4,25.9,9.3,12,5.2,1077,65733,81218,2733,113,4.1,2620,95.9,2519,92.2,20,0.7,4,0.1,19,0.7,3,0.1,2,0.1,53,1.9
Prophetstown High School,Prophetstown-Lyndon-Tampico CUSD3,464.9,464.7,45,45,Illinois,41.6760686,-89.9385776,38 Ferry Street,61277,Whiteside County,Prophetstown,17195,"38 Ferry Street, Prophetstown, Illinois, 61277",700,17195000700,2019,700,Whiteside County,Illinois,262,23,80,107,52,1949,40,76,769,463,166,221,214,8.8,30.5,40.8,19.8,2.1,3.9,39.5,23.8,8.5,11.3,11,1074,75227,78733,2771,29,1,2742,99,2673,96.5,19,0.7,8,0.3,0,0,0,0,0,0,42,1.5
Newton Comm High School,Jasper County CUD 1,486.6,474,118,118,Illinois,38.9897041,-88.1742646,201 West End Avenue,62448,Jasper County,Newton,17079,"201 West End Avenue, Newton, Illinois, 62448",977400,17079977400,2019,977400,Jasper County,Illinois,262,13,74,147,28,1977,48,98,880,356,278,156,161,5,28.2,56.1,10.7,2.4,5,44.5,18,14.1,7.9,8.1,1220,43171,55375,2814,16,0.6,2798,99.4,2745,97.5,18,0.6,0,0,0,0,0,0,11,0.4,24,0.9
Carrier Mills-Stonefort H S,Carrier Mills-Stonefort CUSD 2,437.7,451.3,31,31,Illinois,37.6153091,-88.7068603,1145 Wilson Street,62987,Saline County,Stonefort,17165,"1145 Wilson Street, Stonefort, Illinois, 62987",956200,17165956200,2019,956200,Saline County,Illinois,221,76,19,111,15,2305,95,135,497,576,323,396,283,34.4,8.6,50.2,6.8,4.1,5.9,21.6,25,14,17.2,12.3,1338,66452,95182,3219,32,1,3187,99,3111,96.6,2,0.1,21,0.7,0,0,28,0.9,0,0,25,0.8
Meridian High School,Meridian CUSD 101,402.5,381.6,32,32,Illinois,37.166103,-89.2086773,,N/A,Pulaski County,N/A,17153,,971100,17153971100,2019,971100,Pulaski County,Illinois,139,27,34,72,6,1878,41,154,567,597,238,141,140,19.4,24.5,51.8,4.3,2.2,8.2,30.2,31.8,12.7,7.5,7.5,1010,34302,44422,2562,72,2.8,2490,97.2,1263,49.3,1180,46.1,7,0.3,0,0,0,0,0,0,40,1.6
Waverly Junior/Senior High School,Waverly CUSD 6,470.3,504,35,35,Illinois,39.5926856,-89.9603042,201 North Miller Street,62692,Morgan County,Waverly,17137,"201 North Miller Street, Waverly, Illinois, 62692",952300,17137952300,2019,952300,Morgan County,Illinois,234,25,123,65,21,2212,49,109,965,451,188,292,158,10.7,52.6,27.8,9,2.2,4.9,43.6,20.4,8.5,13.2,7.1,1267,63277,88239,3275,6,0.2,3269,99.8,3180,97.1,17,0.5,0,0,35,1.1,0,0,2,0.1,35,1.1
Quincy Sr High School,Quincy SD 172,477.4,464.2,406,406,Illinois,39.9305553,-91.3624173,3322 Maine Street,62301,Adams County,Quincy,17001,"3322 Maine Street, Quincy, Illinois, 62301",1100,17001001100,2019,1100,Adams County,Illinois,697,122,407,85,83,5886,135,234,1521,1308,449,1493,746,17.5,58.4,12.2,11.9,2.3,4,25.8,22.2,7.6,25.4,12.7,3514,59604,89014,8000,174,2.2,7826,97.8,6929,86.6,605,7.6,28,0.4,101,1.3,0,0,0,0,163,2
