District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
ATKINS SCHOOL DISTRICT,ATKINS HIGH SCHOOL,45,18.5,60.0%,17.5,13.3%,19.4,35.6%,18.7,15.6%,4.4%
DOVER SCHOOL DISTRICT,DOVER HIGH SCHOOL,79,18.9,57.0%,17.9,22.8%,19.6,38.0%,19.9,27.8%,13.9%
HECTOR SCHOOL DISTRICT,HECTOR HIGH SCHOOL,30,18.3,53.3%,17.2,16.7%,19.0,33.3%,19.3,20.0%,6.7%
POTTSVILLE SCHOOL DISTRICT,POTTSVILLE HIGH SCHOOL,99,18.9,55.6%,18.0,15.2%,19.5,38.4%,19.2,30.3%,9.1%
RUSSELLVILLE SCHOOL DISTRICT,RUSSELLVILLE HIGH SCHOOL,291,18.4,51.9%,18.4,23.0%,19.7,39.9%,19.6,28.9%,15.8%
DES ARC SCHOOL DISTRICT,DES ARC HIGH SCHOOL,48,18.4,45.8%,19.9,35.4%,19.0,33.3%,19.4,29.2%,22.9%
HAZEN SCHOOL DISTRICT,HAZEN HIGH SCHOOL,37,16.9,45.9%,17.1,13.5%,16.8,16.2%,17.4,13.5%,2.7%
LITTLE ROCK SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,450,20.7,60.4%,19.8,31.6%,21.2,44.9%,20.8,39.1%,26.7%
LITTLE ROCK SCHOOL DISTRICT,PARKVIEW MAGNET HIGH SCHOOL,222,16.6,41.0%,17.0,13.1%,17.3,20.3%,18.2,18.5%,8.6%
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK SOUTHWEST HIGH SCHOOL,227,11.9,9.3%,14.7,1.8%,13.3,4.8%,14.5,2.2%,0.4%
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK HALL STEAM MAGNET HIGH SCHOOL,56,12.2,7.1%,14.7,1.8%,13.5,1.8%,14.6,3.6%,0.0%
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK HIGH SCHOOL,363,15.6,33.1%,16.6,11.0%,16.5,19.6%,16.6,10.7%,5.8%
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK CENTER OF EXCELLENCE,70,16.2,37.1%,16.6,12.9%,17.5,22.9%,17.9,17.1%,8.6%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MILLS UNIVERSITY STUDIES HIGH SCHOOL,114,14.6,20.2%,15.3,4.4%,15.2,11.4%,16.4,5.3%,1.8%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,JOE T. ROBINSON HIGH SCHOOL,124,17.6,43.5%,17.2,17.7%,18.5,26.6%,19.4,23.4%,9.7%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,SYLVAN HILLS HIGH SCHOOL,229,18.0,50.7%,17.3,20.1%,19.0,32.3%,18.9,22.3%,13.1%
PULASKI COUNTY SPECIAL SCHOOL DISTRICT,MAUMELLE HIGH SCHOOL,198,18.1,49.5%,17.6,20.2%,18.5,28.3%,18.5,21.2%,12.1%
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,JACKSONVILLE HIGH SCHOOL,160,14.9,25.0%,15.5,7.5%,15.6,16.9%,17.1,8.8%,3.8%
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,MAUMELLE CHARTER HIGH SCHOOL,59,20.5,67.8%,19.4,32.2%,20.4,39.0%,20.2,28.8%,20.3%
LISA ACADEMY,LISA ACADEMY WEST HIGH SCHOOL,88,16.5,39.8%,16.5,8.0%,16.7,21.6%,17.6,12.5%,6.8%
LISA ACADEMY,LISA ACADEMY NORTH HIGH SCHOOL,48,17.4,47.9%,17.8,18.8%,16.5,22.9%,17.2,8.3%,6.3%
ARKANSAS VIRTUAL ACADEMY,ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,91,17.3,45.1%,17.4,15.4%,18.2,29.7%,19.1,25.3%,11.0%
ESTEM PUBLIC CHARTER SCHOOL,ESTEM HIGH SCHOOL,148,17.9,47.3%,17.6,17.6%,18.4,27.0%,18.8,18.9%,12.8%
JACKSONVILLE LIGHTHOUSE CHARTER,JACKSONVILLE LIGHTHOUSE COLLEGE PREPARATORY ACADEM,37,14.8,27.0%,14.7,0.0%,16.1,13.5%,16.2,5.4%,0.0%
GRADUATE ARKANSAS  CHARTER,GRADUATE ARKANSAS CHARTER HIGH,5,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LIT,PREMIER HIGH SCHOOL OF LITTLE ROCK,14,12.1,7.1%,13.5,0.0%,12.7,0.0%,14.1,0.0%,0.0%
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF NOR,PREMIER HIGH SCHOOL OF NORTH LITTLE ROCK,10,17.1,50.0%,14.4,0.0%,17.0,20.0%,15.0,0.0%,0.0%
ARKANSAS SCHOOL FOR THE BLIND,ARKANSAS SCHOOL FOR THE BLIND HIGH SCHOOL,4,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
ARKANSAS SCHOOL FOR THE DEAF,SCHOOL FOR THE DEAF,12,10.5,0.0%,13.7,0.0%,12.9,0.0%,14.0,0.0%,0.0%
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-ALEXANDER,10,11.2,0.0%,13.0,0.0%,13.3,0.0%,12.9,0.0%,0.0%
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,3,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-MANSFIELD,1,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
MAYNARD SCHOOL DISTRICT,MAYNARD HIGH SCHOOL,34,14.9,23.5%,16.2,2.9%,17.0,17.6%,16.9,8.8%,2.9%
POCAHONTAS SCHOOL DISTRICT,POCAHONTAS HIGH SCHOOL,112,18.1,41.1%,18.0,21.4%,17.5,27.7%,18.5,23.2%,13.4%
FORREST CITY SCHOOL DISTRICT,FORREST CITY HIGH SCHOOL,108,14.0,13.9%,14.7,2.8%,14.4,4.6%,15.7,1.9%,1.9%
PALESTINE-WHEATLEY SCHOOL DISTRICT,PALESTINE-WHEATLEY SENIOR HIGH,37,19.2,64.9%,18.2,21.6%,19.1,35.1%,19.2,24.3%,10.8%
BAUXITE SCHOOL DISTRICT,BAUXITE HIGH SCHOOL,89,17.7,46.1%,17.5,16.9%,17.8,27.0%,19.1,30.3%,10.1%
BAUXITE SCHOOL DISTRICT,MINER ACADEMY,20,15.4,30.0%,15.7,5.0%,15.6,20.0%,16.0,10.0%,5.0%
BENTON SCHOOL DISTRICT,BENTON HIGH SCHOOL,354,18.4,51.4%,18.9,24.3%,19.7,37.9%,19.5,27.1%,17.5%
