school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Beebe High School,9-12,Beebe School District,19.58,43.0,1031.0,42.0,84.0,7.0,4.0,5.0,16.0,2,1031,43%,20.11,18.91,18.92,19.91,19.58,76,129,79%,0,7302010,7302000,2022,2022.0
Benton High School,10-12,Benton School District,20.9,65.0,1319.0,30.0,74.0,13.0,8.0,5.0,26.0,3,1319,65%,21.43,20.39,20.28,20.99,20.9,379,778,56%,0,6302012,6302000,2022,2022.0
Bentonville High School,9-12,Bentonville School District,22.9,52.0,3322.0,15.0,75.0,11.0,2.0,12.0,25.0,1,3318,52%,23.7,23.1,21.46,22.76,22.9,1174,1949,67%,0,401003,401000,2022,2022.0
Bentonville West High School,9-12,Bentonville School District,21.02,44.0,2418.0,23.0,68.0,16.0,5.0,12.0,32.0,1,2414,44%,21.77,20.6,20.02,21.09,21.02,875,1262,56%,0,401019,401000,2022,2022.0
Bergman High School,9-12,Bergman School District,21.66,43.0,268.0,50.0,93.0,5.0,0.0,2.0,7.0,1,268,43%,22.62,21.94,19.75,21.77,21.66,20,28,RV,0,502007,502000,2022,2022.0
Berryville High School,9-12,Berryville School District,19.25,42.0,545.0,69.0,62.0,31.0,1.0,6.0,38.0,1,545,42%,19.47,19.1,17.96,19.76,19.25,84,111,60%,0,801002,801000,2022,2022.0
Bigelow High School,7-12,East End School District,17.77,38.0,303.0,54.0,83.0,10.0,3.0,5.0,17.0,1,202,38%,18.03,16.42,17.29,18.74,17.77,13,16,RV,0,5301002,5301000,2022,2022.0
Bismarck High School,9-12,Bismarck School District,19.36,42.0,308.0,62.0,91.0,6.0,2.0,1.0,9.0,3,308,42%,19.13,19.04,18.8,19.89,19.36,39,50,20%,0,3001003,3001000,2022,2022.0
Blevins High School,7-12,Blevins School District,18.79,41.0,195.0,81.0,66.0,11.0,17.0,5.0,34.0,4,125,41%,19.74,18.89,17.11,18.68,18.79,25,28,RV,0,2901002,2901000,2022,2022.0
Blytheville High School,9-12,Blytheville School District,14.78,35.0,460.0,74.0,11.0,5.0,83.0,1.0,89.0,2,460,35%,15.63,13.04,14.34,15.6,14.78,33,42,RV,0,4702014,4702000,2022,2022.0
Booneville High School,10-12,Booneville School District,18.64,65.0,243.0,67.0,85.0,8.0,1.0,7.0,15.0,1,243,65%,19.16,17.66,17.89,19.4,18.64,65,71,37%,0,4201002,4201000,2022,2022.0
Bradford High School,7-12,Bradford School District,17.71,37.0,199.0,80.0,96.0,1.0,3.0,1.0,4.0,2,135,37%,18.58,17.29,16.38,17.83,17.71,36,30,RV,0,7303015,7303000,2022,2022.0
Bradley High School,7-12,Emerson-Taylor-Bradley School District,19.75,50.0,151.0,61.0,68.0,2.0,30.0,0.0,32.0,4,100,50%,20.88,18.69,19.31,19.38,19.75, N/A , N/A ,,0,1408007,1408000,2022,2022.0
Brinkley High School,7-12,Brinkley School District,15.48,40.0,192.0,76.0,29.0,1.0,67.0,3.0,71.0,5,130,40%,15.67,13.48,15.67,16.56,15.48,26,15,RV,0,4801003,4801000,2022,2022.0
Brookland High School,10-12,Brookland School District,19.53,76.0,589.0,27.0,91.0,4.0,3.0,2.0,9.0,2,589,76%,20.26,18.61,18.36,20.2,19.53,90,107,47%,0,1603007,1603000,2022,2022.0
Bruno-Pyatt K-12 School,K-12,Ozark Mountain School District,19.36,44.0,158.0,80.0,94.0,3.0,0.0,3.0,6.0,1,50,44%,22.0,17.82,16.82,20.09,19.36, N/A , N/A ,,0,6505017,6505000,2022,2022.0
Bryant High School,10-12,Bryant School District,19.88,70.0,2199.0,47.0,57.0,16.0,23.0,4.0,43.0,3,2193,70%,20.71,19.51,18.78,19.96,19.88,785,1479,52%,0,6303022,6303000,2022,2022.0
Buffalo Island Central High School,7-12,Buffalo Is. Central School District,18.03,47.0,338.0,52.0,79.0,19.0,0.0,2.0,21.0,2,220,47%,19.03,17.75,16.6,18.25,18.03,18,18,RV,0,1605065,1605000,2022,2022.0
Cabot High School,10-12,Cabot School District,20.59,63.0,2198.0,36.0,82.0,8.0,3.0,7.0,18.0,3,2198,63%,21.23,20.03,19.58,20.91,20.59,458,858,62%,0,4304005,4304000,2022,2022.0
Caddo Hills High School,7-12,Caddo Hills School District,17.55,45.0,252.0,78.0,79.0,17.0,0.0,4.0,21.0,4,168,45%,17.82,16.79,17.12,17.88,17.55, N/A , N/A ,,0,4901003,4901000,2022,2022.0
Calico Rock High School,7-12,Calico Rock School District,19.3,42.0,184.0,61.0,96.0,2.0,0.0,2.0,4.0,2,126,42%,20.87,18.35,17.83,19.83,19.3, N/A , N/A ,,0,3301002,3301000,2022,2022.0
Camden Fairview High School,9-12,Camden Fairview School District,16.53,43.0,704.0,70.0,28.0,3.0,62.0,7.0,72.0,4,704,43%,17.33,15.22,15.88,16.95,16.53,166,240,12%,0,5204023,5204000,2022,2022.0
Carlisle High School,7-12,Carlisle School District,17.14,55.0,295.0,57.0,80.0,6.0,9.0,5.0,20.0,3,203,55%,17.28,16.22,16.44,18.14,17.14,40,56,RV,0,4303013,4303000,2022,2022.0
Cave City High Career & Collegiate Preparatory School,9-12,Cave City School District,19.8,51.0,371.0,72.0,95.0,3.0,1.0,1.0,5.0,2,371,51%,20.08,19.35,19.08,20.15,19.8,56,54,RV,0,6802703,6802000,2022,2022.0
Cedar Ridge High School,6-12,Cedar Ridge School District,17.92,44.0,368.0,68.0,91.0,6.0,2.0,1.0,9.0,2,206,44%,18.86,17.16,16.41,18.65,17.92, N/A , N/A ,,0,3212027,3212000,2022,2022.0
Cedarville High School,9-12,Cedarville School District,17.84,46.0,241.0,68.0,83.0,3.0,0.0,14.0,17.0,1,241,46%,19.06,16.43,17.35,18.06,17.84,57,65,RV,0,1702009,1702000,2022,2022.0
Centerpoint Academy Of Agriculture & Skilled Trade,11-12,Centerpoint School District,14.08,100.0,22.0,64.0,95.0,5.0,0.0,0.0,5.0,4,22,100%,14.08,12.83,14.42,14.5,14.08, N/A , N/A ,,0,5502703,5502000,2022,2022.0
